"sample_id","gene","comparison_group_candidate","cells_candidate","mean_expression_candidate","percent_cells_expressing_candidate","comparison_group_other","cells_other","mean_expression_other","percent_cells_expressing_other","mean_difference","prevalence_difference"
"S4","NDRG1","candidate_fibroblast_state",641,0.540216046241922,31.201248049922,"other_clusters",1503,1.1854791061946,64.1383898868929,-0.645263059952681,-32.9371418369709
"S4","NF2","candidate_fibroblast_state",641,0.0464150074908928,3.1201248049922,"other_clusters",1503,0.0386705311898263,3.99201596806387,0.00774447630106652,-0.871891163071672
"S4","NFKB1","candidate_fibroblast_state",641,0.480722767292284,28.8611544461778,"other_clusters",1503,0.521717717709386,37.6580172987359,-0.0409949504171028,-8.79686285255802
"S4","NFKB2","candidate_fibroblast_state",641,0.174776388575262,11.7004680187207,"other_clusters",1503,0.178671078127849,15.3027278775782,-0.00389468955258762,-3.60225985885743
"S4","P2RX4","candidate_fibroblast_state",641,0.0489321830915122,3.43213728549142,"other_clusters",1503,0.0253501293851645,2.06254158349967,0.0235820537063477,1.36959570199175
"S4","P2RX7","candidate_fibroblast_state",641,0.00901501500224195,0.62402496099844,"other_clusters",1503,0.0221035851192591,1.99600798403194,-0.0130885701170172,-1.3719830230335
"S4","PANX1","candidate_fibroblast_state",641,0.161333119977729,9.98439937597504,"other_clusters",1503,0.220548575789032,19.6939454424484,-0.0592154558113035,-9.7095460664734
"S4","PARVA","candidate_fibroblast_state",641,0.157108902696633,10.2964118564743,"other_clusters",1503,0.0421628224810827,3.85894876912841,0.114946080215551,6.43746308734585
"S4","PCNA","candidate_fibroblast_state",641,0.0719864097580452,4.99219968798752,"other_clusters",1503,0.139403734319429,12.9740518962076,-0.067417324561384,-7.98185220822006
"S4","PDGFA","candidate_fibroblast_state",641,0.080178187368371,5.46021840873635,"other_clusters",1503,0.0440300857720644,4.0585495675316,0.0361481015963067,1.40166884120475
"S4","PDGFB","candidate_fibroblast_state",641,0.0296097408748364,2.49609984399376,"other_clusters",1503,0.0196852487182346,1.59680638722555,0.00992449215660183,0.899293456768211
"S4","PDGFC","candidate_fibroblast_state",641,0.0647080148999986,4.52418096723869,"other_clusters",1503,0.0830244853628332,8.18363273453094,-0.0183164704628346,-3.65945176729225
"S4","PDGFRA","candidate_fibroblast_state",641,0.547777172108888,31.3572542901716,"other_clusters",1503,0.0540229829097505,4.52428476380572,0.493754189199138,26.8329695263659
"S4","PDGFRB","candidate_fibroblast_state",641,0.549119568184503,33.2293291731669,"other_clusters",1503,0.0616651474199798,4.99001996007984,0.487454420764523,28.2393092130871
"S4","PDK1","candidate_fibroblast_state",641,0.0356737788153597,2.34009360374415,"other_clusters",1503,0.110062950181911,10.7119095143047,-0.0743891713665509,-8.37181591056057
"S4","PFKFB3","candidate_fibroblast_state",641,0.189809451700444,12.6365054602184,"other_clusters",1503,0.233001402963686,20.292747837658,-0.0431919512632427,-7.65624237743961
"S4","PFN1","candidate_fibroblast_state",641,2.17423193906513,90.3276131045242,"other_clusters",1503,2.27372247726668,93.7458416500333,-0.0994905382015476,-3.41822854550908
"S4","PGK1","candidate_fibroblast_state",641,0.333334409625586,20.9048361934477,"other_clusters",1503,0.434661541065196,35.0632069194943,-0.10132713143961,-14.1583707260466
"S4","PIEZO1","candidate_fibroblast_state",641,0.0358852065939788,2.49609984399376,"other_clusters",1503,0.0508756108911776,5.45575515635396,-0.0149904042971987,-2.9596553123602
"S4","PIEZO2","candidate_fibroblast_state",641,0.0248613111342133,1.71606864274571,"other_clusters",1503,0.0134705067310627,1.13107119095143,0.0113908044031506,0.584997451794279
"S4","PKD1","candidate_fibroblast_state",641,0.111590677498706,7.64430577223089,"other_clusters",1503,0.05259778446213,5.78842315369261,0.0589928930365761,1.85588261853827
"S4","PKD2","candidate_fibroblast_state",641,0.108577159493944,7.48829953198128,"other_clusters",1503,0.0314733983254398,3.12707917498337,0.0771037611685038,4.36122035699791
"S4","POSTN","candidate_fibroblast_state",641,0.237499852799299,12.3244929797192,"other_clusters",1503,0.193359987831659,15.5023286759814,0.0441398649676401,-3.17783569626218
"S4","PTGS2","candidate_fibroblast_state",641,0.231751184166292,13.2605304212168,"other_clusters",1503,0.275264832856865,17.7644710578842,-0.0435136486905725,-4.50394063666738
"S4","PTK2","candidate_fibroblast_state",641,0.123491931945617,8.26833073322933,"other_clusters",1503,0.112243925599943,10.9115103127079,0.011248006345674,-2.64317957947859
"S4","PXN","candidate_fibroblast_state",641,0.102426045094508,7.33229329173167,"other_clusters",1503,0.0983155079489269,9.78043912175649,0.00411053714558153,-2.44814583002482
"S4","RAC1","candidate_fibroblast_state",641,1.56726729307235,75.3510140405616,"other_clusters",1503,1.99905892914013,90.8848968729208,-0.431791636067783,-15.5338828323592
"S4","RELA","candidate_fibroblast_state",641,0.129423301776028,8.89235569422777,"other_clusters",1503,0.150559325749776,13.7724550898204,-0.0211360239737481,-4.88009939559259
"S4","RELB","candidate_fibroblast_state",641,0.216399438104953,14.5085803432137,"other_clusters",1503,0.150543594289152,13.0405854956753,0.0658558438158006,1.46799484753841
"S4","RHOA","candidate_fibroblast_state",641,1.28740768235128,65.8346333853354,"other_clusters",1503,0.888721935943658,59.0153027278776,0.398685746407623,6.81933065745784
"S4","RHOB","candidate_fibroblast_state",641,0.456564847298758,27.7691107644306,"other_clusters",1503,0.306476586192694,23.0871590153027,0.150088261106064,4.68195174912785
"S4","ROCK1","candidate_fibroblast_state",641,0.245496839661875,16.0686427457098,"other_clusters",1503,0.180408049137741,15.9680638722555,0.0650887905241334,0.100578873454342
"S4","ROCK2","candidate_fibroblast_state",641,0.20827942646407,13.8845553822153,"other_clusters",1503,0.148009731103763,12.5083166999335,0.0602696953603072,1.37623868228182
"S4","SAV1","candidate_fibroblast_state",641,0.414629742185277,25.7410296411856,"other_clusters",1503,0.256741906530871,20.6919494344644,0.157887835654406,5.04908020672124
"S4","SERPINE1","candidate_fibroblast_state",641,0.110765443151581,7.33229329173167,"other_clusters",1503,0.18320932712642,13.5063206919494,-0.0724438839748397,-6.17402740021776
