"sample_id","comparison_group","gene","cells","mean_expression","percent_cells_expressing"
"S1","candidate_fibroblast_state","SMAD4",1042,0.109662855827249,8.06142034548944
"S1","candidate_fibroblast_state","SMAD7",1042,0.0521214341941033,3.93474088291747
"S1","candidate_fibroblast_state","SERPINE1",1042,0.0698392520594618,4.70249520153551
"S1","candidate_fibroblast_state","PDGFA",1042,0.120817809525872,7.00575815738964
"S1","candidate_fibroblast_state","PDGFB",1042,0.00980137006766458,0.863723608445297
"S1","candidate_fibroblast_state","PDGFC",1042,0.049334245063234,3.74280230326296
"S1","candidate_fibroblast_state","PDGFRA",1042,0.618911311610997,38.0038387715931
"S1","candidate_fibroblast_state","PDGFRB",1042,0.862602870942494,50.1919385796545
"S1","candidate_fibroblast_state","INHBA",1042,0.146079484820001,9.40499040307102
"S1","candidate_fibroblast_state","FOSL2",1042,0.57442147448771,35.4126679462572
"S1","candidate_fibroblast_state","SNAI1",1042,0.165958424466983,10.9404990403071
"S1","candidate_fibroblast_state","ZEB1",1042,0.157472658735357,11.6122840690979
"S1","candidate_fibroblast_state","IL6",1042,0.542039402527198,27.6391554702495
"S1","candidate_fibroblast_state","CCL2",1042,1.79995231571618,65.4510556621881
"S1","candidate_fibroblast_state","CXCL1",1042,0.818495647923486,33.5892514395393
"S1","candidate_fibroblast_state","CXCL2",1042,1.5368259725005,55.4702495201535
"S1","candidate_fibroblast_state","CXCL3",1042,0.850157556624096,36.852207293666
"S1","candidate_fibroblast_state","TNF",1042,0.0284857783907497,2.11132437619962
"S1","candidate_fibroblast_state","IL1B",1042,0.0577987705668122,4.22264875239923
"S1","candidate_fibroblast_state","PTGS2",1042,0.301516592814418,16.8905950095969
"S1","candidate_fibroblast_state","NFKB1",1042,0.445249608959214,27.2552783109405
"S1","candidate_fibroblast_state","NFKB2",1042,0.293281368727164,19.8656429942418
"S1","candidate_fibroblast_state","RELA",1042,0.173934781103271,12.763915547025
"S1","candidate_fibroblast_state","RELB",1042,0.20881342781256,14.9712092130518
"S1","candidate_fibroblast_state","JUN",1042,1.81148954407966,74.4721689059501
"S1","candidate_fibroblast_state","JUND",1042,1.05626323226944,59.6928982725528
"S1","candidate_fibroblast_state","FOS",1042,2.11685142183953,78.0230326295585
"S1","candidate_fibroblast_state","FOSB",1042,0.683025518854166,40.3071017274472
"S1","candidate_fibroblast_state","ATF3",1042,0.693473853872831,38.7715930902111
"S1","candidate_fibroblast_state","STAT3",1042,0.728498566696458,44.9136276391555
"S1","candidate_fibroblast_state","SOCS3",1042,1.02347225231306,48.6564299424184
"S1","candidate_fibroblast_state","ICAM1",1042,1.02852443574306,52.1113243761996
"S1","candidate_fibroblast_state","HIF1A",1042,0.308912237224181,21.2092130518234
"S1","candidate_fibroblast_state","EPAS1",1042,0.173307803383892,11.2284069097889
"S1","candidate_fibroblast_state","EGLN1",1042,0.146714532102448,10.5566218809981
"S1","candidate_fibroblast_state","EGLN2",1042,0.239023937828499,17.5623800383877
"S1","candidate_fibroblast_state","EGLN3",1042,0.0469839866420546,3.26295585412668
"S1","candidate_fibroblast_state","VEGFA",1042,0.198625808398752,13.531669865643
