"seurat_cluster","gene","mean_log_normalized_expression","percent_cells_expressing","cells_in_cluster","paper_marker_class"
"3","PLN",0.295249612036107,18.3098591549296,1420,"Pericyte"
"3","PDGFRA",0.00916588882773439,0.915492957746479,1420,"FB"
"3","CD34",0.0212749097885453,2.3943661971831,1420,"FB"
"3","APOD",0.0337979506559735,2.53521126760563,1420,"FB"
"3","PLA2G2A",0.0524921945751736,4.50704225352113,1420,"FB"
"3","FBLN5",0.0170668792459256,1.54929577464789,1420,"FB"
"3","OSR2",0.220295706642249,13.0281690140845,1420,"FB"
"3","PDPN",0.0127889905660579,1.40845070422535,1420,"Myofib"
"3","SCX",0.00773288910922666,0.774647887323944,1420,"Myofib"
"3","ADAM12",0.054350095117049,5.49295774647887,1420,"Myofib"
"3","LOXL2",0.147344235300561,11.5492957746479,1420,"Myofib"
"3","FAP",0.0495275201198615,4.50704225352113,1420,"Myofib"
"3","COL1A1",1.28371659651824,52.7464788732394,1420,"Myofib"
"3","COL1A2",1.67365996583444,65.5633802816901,1420,"Myofib"
"3","COL3A1",1.61135292615372,62.7464788732394,1420,"Myofib"
"3","CTHRC1",0.334758365361931,21.9718309859155,1420,"Myofib"
"3","TNFRSF12A",0.1824976304562,13.5211267605634,1420,"Myofib"
