"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr","expected_marker_class"
"2","VSMC","COL3A1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-6.11413015984884,-5.45268864588532,-7.41450558373382,0,0,16.4364251480124,0.198201355393178,0.00915168885265007,0.0268965973563124,"Myofib"
"3","Pericyte","COL3A1",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-1.90964516233486,-2.1581875231657,-3.18017034895253,0,0,62.7464788732394,1.61135292615372,0.0142661867014469,0.0990762069541866,"Myofib"
"0","FB","CTHRC1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",2.19570501955882,1.35138254259128,-2.38032504445498,0.666666666666667,0.666666666666667,44.3162670123137,0.88317838817963,0.123534253752569,0.196687026136004,"Myofib"
"1","Myofib","CTHRC1",3,"DD1;DD2;DD3",2.98137186298384,2.83668237596511,2.06692226314859,1,1,98.1407035175879,3.03243544291086,0.18144920772142,0.288215063359144,"Myofib"
"2","VSMC","CTHRC1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-3.94744971710944,-4.34803040289251,-8.4919668206412,0,0,13.8990696363124,0.18788827616445,0.00915168885265007,0.0268965973563124,"Myofib"
"3","Pericyte","CTHRC1",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-1.99046376989613,-2.22049667583241,-4.25477496887784,0,0,21.9718309859155,0.334758365361931,0.0142661867014469,0.0990762069541866,"Myofib"
"0","FB","FAP",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.27146273654288,3.53633230679836,-0.899922732593263,0.777777777777778,0.666666666666667,22.0090732339598,0.295803489875864,0.0440109840129514,0.0916513669814915,"Myofib"
"1","Myofib","FAP",3,"DD1;DD2;DD3",1.69195914676672,1.96942161340926,1.34472532044649,1,1,74.5226130653266,0.937771951741764,0.18144920772142,0.288215063359144,"Myofib"
"2","VSMC","FAP",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-5.90381860125998,-6.12572276297422,-7.51619227358359,0,0,0.70482097547223,0.00581482209824978,NA,NA,"Myofib"
"3","Pericyte","FAP",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-5.37479791913914,-4.87547696905494,-6.86635554446259,0,0,4.50704225352113,0.0495275201198615,NA,NA,"Myofib"
"0","FB","LOXL2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",1.69417425991879,0.872100449829306,-2.86106727892838,0.666666666666667,0.666666666666667,11.2119248217758,0.128476256380112,0.40694121691803,0.501729146763009,"Myofib"
"1","Myofib","LOXL2",3,"DD1;DD2;DD3",2.9441754536525,3.09081764667166,2.93930659205274,1,1,82.3366834170854,1.23826413422561,0.18144920772142,0.288215063359144,"Myofib"
