"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr"
"2","VSMC","SPEG",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.70131990682313,4.36452301475028,2.68229584187667,1,1,25.6836763462081,0.381046634645756,0.00915168885265016,0.0268965973563124
"2","VSMC","PTP4A3",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.67641288855481,4.76755103974271,3.73013721017132,1,1,56.7803777840429,1.00672009944175,0.00915168885265016,0.0268965973563124
"2","VSMC","NPNT",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.64557992489192,4.33222774455523,2.40511040407915,1,1,17.8460670989569,0.252226125618506,0.00915168885265016,0.0268965973563124
"2","VSMC","FHL5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.63878964582376,4.04092637478785,1.7293917203715,1,1,29.9407950380603,0.460172439501284,0.00915168885265016,0.0268965973563124
"2","VSMC","LMOD1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.61583625714482,4.07292471184383,1.92605165729719,1,1,60.6146038906118,1.0973705990209,0.00915168885265016,0.0268965973563124
"2","VSMC","MAP3K7CL",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.58239750317614,4.35554986834946,3.39733838109692,1,1,28.4747674090781,0.490063561020422,0.00915168885265016,0.0268965973563124
"2","VSMC","RRAD",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.56579892139431,4.39189535341176,3.29160242536048,1,1,56.6394135889484,1.10983206815714,0.00915168885265016,0.0268965973563124
"2","VSMC","MYOM1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.54669186873319,4.46272595155574,2.86531890719244,1,1,12.9405131096701,0.17651816390688,0.00915168885265016,0.0268965973563124
"2","VSMC","REEP1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.53477137514908,4.07595500576214,2.68431379818748,1,1,10.1212292077812,0.142972288308197,0.00915168885265016,0.0268965973563124
"2","VSMC","SUSD5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.45160633410848,4.31821900946805,3.11645267368346,1,1,17.1976318015224,0.245530818148221,0.00915168885265016,0.0268965973563124
"2","VSMC","ITGA3",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.42723532353934,4.16068953962327,2.59546442168782,1,1,14.2937693825768,0.197709150842236,0.00915168885265016,0.0268965973563124
"2","VSMC","GJA4",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.42157110875206,4.42072748457311,2.10318595527123,1,1,40.0056385678038,0.649777882562647,0.00915168885265016,0.0268965973563124
"2","VSMC","RASGRP2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.37426600289038,4.19943779563026,2.27087206881344,1,1,28.3619960530025,0.422747362027509,0.00915168885265016,0.0268965973563124
"2","VSMC","NPY1R",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.37374367556209,4.44645790464963,2.50072553452312,1,1,23.8511418099803,0.367379581083774,0.00915168885265016,0.0268965973563124
"2","VSMC","NET1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.35552526346623,4.84433300011915,3.50365479174341,1,1,69.5235410205808,1.43829572796712,0.00915168885265016,0.0268965973563124
"2","VSMC","ACTA2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.32509750296527,4.71885486558435,2.53244282564472,1,1,99.0132506343389,4.30865835291706,0.00915168885265016,0.0268965973563124
"2","VSMC","CDH6",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.31164732166189,4.53825175991692,2.46668890768424,1,1,34.8745418663659,0.534572420492716,0.00915168885265016,0.0268965973563124
"2","VSMC","MRVI1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.2869771484883,3.93838995790282,2.09756228825822,1,1,28.5593459261348,0.43051407905064,0.00915168885265016,0.0268965973563124
"2","VSMC","MNDA",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.28571190212521,4.4353976815273,2.31225060026313,1,1,13.2788271778968,0.193622633868898,0.00915168885265016,0.0268965973563124
"2","VSMC","SLC2A4",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.27879265363942,4.44683652135322,2.91243517747724,1,1,10.9670143783479,0.154397201583219,0.00915168885265016,0.0268965973563124
"2","VSMC","HACD1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.26939364829712,4.3964256452157,3.49794673741872,1,1,23.4564420637158,0.333863341131266,0.00915168885265016,0.0268965973563124
"2","VSMC","TINAGL1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.25062818371116,4.21861387299249,1.37626152526591,1,1,85.9317733295743,1.91442717684665,0.00915168885265016,0.0268965973563124
"2","VSMC","TMEM51",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.23863266445301,4.6695697190508,3.27422133815425,1,1,18.7200451085424,0.273400157885467,0.00915168885265016,0.0268965973563124
"2","VSMC","AC092164.1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.17725009971109,4.302724297653,3.47672468104226,1,1,12.5458133634057,0.18049934677133,0.00915168885265016,0.0268965973563124
"2","VSMC","AMIGO2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.15509121314047,4.1721750201457,2.26019119116574,1,1,16.9157034113335,0.243935846965233,0.00915168885265016,0.0268965973563124
"2","VSMC","TPM2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.12857274953037,3.92800364170055,2.68249345839743,1,1,97.0115590639977,3.36098946150822,0.00915168885265016,0.0268965973563124
"2","VSMC","AKAP1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.0804053490919,4.02645109879781,3.31113799691733,1,1,38.9906963631238,0.605039919171443,0.00915168885265016,0.0268965973563124
"2","VSMC","DOCK8",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.0583531496058,3.74869043629667,1.63907017119323,1,1,12.0665351000846,0.167187220273929,0.00915168885265016,0.0268965973563124
"2","VSMC","KCNMB1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.03919662292084,3.46842479088091,0.62911894959774,1,1,28.8130814773048,0.425544742552023,0.00915168885265016,0.0268965973563124
"2","VSMC","ADRA2B",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.02058408595262,3.7840572275317,1.22077356281625,1,1,10.177614885819,0.155524717626778,0.00915168885265016,0.0268965973563124
"2","VSMC","LINGO1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.97951111464159,4.22531438175101,2.73415664086104,1,1,10.2340005638568,0.138378929941309,0.00915168885265016,0.0268965973563124
"2","VSMC","PCDH1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.96900899722455,3.7730470429418,1.63593570162998,1,1,10.685085988159,0.14648798179891,0.00915168885265016,0.0268965973563124
"2","VSMC","ATP1B2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.96496461114953,4.03090010006892,1.91167373896479,1,1,17.9870312940513,0.261332665047089,0.00915168885265016,0.0268965973563124
"2","VSMC","CAP2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.93332711441552,4.24146353999731,2.84045846524513,1,1,28.5311530871159,0.420496566414958,0.00915168885265016,0.0268965973563124
"2","VSMC","CLMN",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.9220232614976,3.97623323267487,2.37476594027021,1,1,31.6887510572315,0.478012736169157,0.00915168885265016,0.0268965973563124
"2","VSMC","PHLDA2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.91582498133933,4.44101801762281,3.03661835327605,1,1,59.2613476177051,1.16637897828206,0.00915168885265016,0.0268965973563124
"2","VSMC","RASL12",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.9138202500709,3.69321203153518,2.03340141513345,1,1,39.8082886946716,0.625998258591416,0.00915168885265016,0.0268965973563124
"2","VSMC","PDE3A",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.90180654498235,3.79079822851803,2.61529660249167,1,1,16.9157034113335,0.245873932249181,0.00915168885265016,0.0268965973563124
"2","VSMC","COX4I2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.89970884172784,3.60572706810401,1.39902325201892,1,1,43.7834789963349,0.752846092421704,0.00915168885265016,0.0268965973563124
"2","VSMC","FRY",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.88970387414948,3.66056135163728,2.41365839128577,1,1,23.9921060050747,0.354877842352759,0.00915168885265016,0.0268965973563124
"2","VSMC","NDUFA4L2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.86054145801742,3.80015820784825,1.54832560274508,1,1,62.6162954609529,1.45499499590968,0.00915168885265016,0.0268965973563124
"2","VSMC","RCAN2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.82314465240113,3.4844794603125,2.50621339859243,1,1,56.498449393854,0.969963235225694,0.00915168885265016,0.0268965973563124
"2","VSMC","SBSPON",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.81886229515939,3.90315000792287,1.79925740581489,1,1,30.786580208627,0.455699430175565,0.00915168885265016,0.0268965973563124
"2","VSMC","NTRK3",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.78673623387614,3.93737487454948,1.71170025480485,1,1,25.0352410487736,0.370628202165253,0.00915168885265016,0.0268965973563124
"2","VSMC","WTIP",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.74361052623007,3.61777595570129,2.63446052615265,1,1,35.0436989004793,0.571979975930616,0.00915168885265016,0.0268965973563124
"2","VSMC","DMPK",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.74108694613886,3.42500688448065,2.4222642011034,1,1,31.8297152523259,0.468683865470203,0.00915168885265016,0.0268965973563124
"2","VSMC","USP2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.7069169830314,3.66615582412278,2.11986478038934,1,1,11.6436425148012,0.167637609223397,0.00915168885265016,0.0268965973563124
"2","VSMC","HES4",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.7039417042056,3.7469228331109,2.5161731389223,1,1,77.3329574288131,1.65743846330876,0.00915168885265016,0.0268965973563124
"2","VSMC","RGS5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.68117987040717,3.15986473725471,0.042688816155561,1,0.888888888888889,47.5049337468283,1.22191863329687,0.00915168885265016,0.0268965973563124
"2","VSMC","HRH2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.67287500677028,3.90947129388025,2.70626751114629,1,1,31.801522413307,0.494601352746339,0.00915168885265016,0.0268965973563124
"2","VSMC","SGCA",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.65042402852935,4.06148754204083,2.10443336042006,1,1,34.6208063151959,0.517305544299835,0.00915168885265016,0.0268965973563124
"2","VSMC","TAGLN",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.62487573067933,3.47517193343763,1.90779791673043,1,1,99.5771074147167,4.38303819121107,0.00915168885265016,0.0268965973563124
"3","Pericyte","CCL21",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",8.09623042943414,6.90898697763936,0.548213915303191,1,1,17.3239436619718,0.393814991508141,0.0142661867014469,0.0990762069541866
"3","Pericyte","ADGRF5",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",6.88350125119298,6.88295918186272,5.21699391675693,1,1,31.4788732394366,0.518476265089938,0.0142661867014469,0.0990762069541866
"3","Pericyte","CD36",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",6.32722033502626,6.57429087863744,5.21208733088651,1,1,28.5915492957746,0.565348788136926,0.0142661867014469,0.0990762069541866
"3","Pericyte","ARHGAP15",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",5.73816669367781,5.25062016161177,2.86183300787294,1,1,39.8591549295775,0.67161971073155,0.0142661867014469,0.0990762069541866
"3","Pericyte","KRT18",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",5.65480269047197,5.51034078635597,3.64910400551695,1,1,15.6338028169014,0.244322448837565,0.0142661867014469,0.0990762069541866
"3","Pericyte","SSTR2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",5.45180806537674,5.17059098673984,3.64591433879036,1,1,25.5633802816901,0.411141413804428,0.0142661867014469,0.0990762069541866
"3","Pericyte","STEAP4",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",5.25881892016258,5.08780009961763,3.33570466437121,1,1,62.9577464788732,1.30345694705869,0.0142661867014469,0.0990762069541866
"3","Pericyte","CCL19",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",4.8766974196737,4.16502028904861,0.0920463502125912,1,0.875,12.1830985915493,0.337863373073533,0.0142661867014469,0.0990762069541866
"3","Pericyte","NCKAP5",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",4.46860444666328,4.14183507369211,2.98432767515908,1,1,19.6478873239437,0.298628385321861,0.0142661867014469,0.0990762069541866
"3","Pericyte","GUCY1A2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",4.39314899780753,4.68685437400815,2.49598870727887,1,1,24.6478873239437,0.390594663434803,0.0142661867014469,0.0990762069541866
"3","Pericyte","CLSTN2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",4.28446533700528,4.24833047241774,2.27227499209402,1,1,16.4788732394366,0.261088555220188,0.0142661867014469,0.0990762069541866
"3","Pericyte","ARHGDIB",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",4.19977904046202,4.06664598451784,2.46389056137607,1,1,59.5774647887324,1.18922982589542,0.0142661867014469,0.0990762069541866
"3","Pericyte","FABP4",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.97485757804948,4.04437287967121,2.92061793602448,1,1,47.0422535211268,1.19453351634924,0.0142661867014469,0.0990762069541866
"3","Pericyte","LGI4",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.87347519659022,4.04215543283903,3.28643758012403,1,1,80.2816901408451,1.9271621289383,0.0142661867014469,0.0990762069541866
"3","Pericyte","FRMD3",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.86210882547788,3.20332020759047,0.449088900861577,1,0.875,16.9718309859155,0.256681191740191,0.0142661867014469,0.0990762069541866
"3","Pericyte","TM4SF1",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.62748465253571,3.95525922330649,2.17133649275727,1,1,48.8732394366197,1.03409528176281,0.0142661867014469,0.0990762069541866
"3","Pericyte","CCDC102B",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.56075472186927,3.60480979244363,1.92718161776001,1,1,29.7183098591549,0.475406640669613,0.0142661867014469,0.0990762069541866
"3","Pericyte","FHL2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.48240652727719,3.54925983386051,2.80240385596274,1,1,57.5352112676056,1.13573033231182,0.0142661867014469,0.0990762069541866
"3","Pericyte","CAVIN2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.4015220749344,3.55691463990935,1.69308209407247,1,1,25.8450704225352,0.377318251673727,0.0142661867014469,0.0990762069541866
"3","Pericyte","CTSC",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.35273604279741,3.47213762789573,2.43141034929922,1,1,46.6901408450704,0.830644882110803,0.0142661867014469,0.0990762069541866
"3","Pericyte","EPHA2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.35107372549011,3.41722545669964,2.44216561012328,1,1,10.4929577464789,0.172968975279201,0.0142661867014469,0.0990762069541866
"3","Pericyte","ANGPT2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.30508441558703,3.47389964264743,2.66337655087165,1,1,34.5070422535211,0.594371451636282,0.0142661867014469,0.0990762069541866
"3","Pericyte","HOPX",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.29106883476323,3.41603138492756,1.20088367222512,1,1,29.4366197183099,0.467711928009279,0.0142661867014469,0.0990762069541866
"3","Pericyte","RGS5",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.26396813326245,3.252496221253,1.26950083867752,1,1,57.1830985915493,1.81341003578456,0.0142661867014469,0.0990762069541866
"3","Pericyte","FMO3",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.21937627530466,3.14695441176184,0.454938567414341,1,0.875,17.0422535211268,0.260135346928101,0.0142661867014469,0.0990762069541866
"3","Pericyte","FAM13C",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.17675803413197,3.22497457534352,2.14479761158222,1,1,20.5633802816901,0.320857712064673,0.0142661867014469,0.0990762069541866
"3","Pericyte","SLC9A3R2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.13001600458417,3.19422632357329,1.61828449197048,1,1,36.5492957746479,0.599932605624911,0.0142661867014469,0.0990762069541866
"3","Pericyte","GGT5",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.07125953366749,2.95528845149338,1.12066527899324,1,1,62.7464788732394,1.23379734112539,0.0142661867014469,0.0990762069541866
"3","Pericyte","CSRNP3",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.06303660026391,2.79069143550411,0.868143522914985,1,1,14.7887323943662,0.215787269989941,0.0142661867014469,0.0990762069541866
"3","Pericyte","INPP4B",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.02676049772524,3.07261116410113,0.92886628778547,1,1,23.5211267605634,0.369954236939832,0.0142661867014469,0.0990762069541866
"3","Pericyte","PARM1",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.02431470000858,3.09987975303876,2.09650502867088,1,1,32.112676056338,0.513755035383052,0.0142661867014469,0.0990762069541866
"3","Pericyte","REM1",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",2.97182674129679,2.76974414739134,1.51452094609494,1,1,31.056338028169,0.499695591283929,0.0142661867014469,0.0990762069541866
"3","Pericyte","CCL2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",2.95430917880453,2.64582283869585,0.478529925902285,1,0.875,50.6338028169014,1.51972600675209,0.0142661867014469,0.0990762069541866
