"gene","module","step08C2_support","step08C2_interpretation","step10B_role","gene_original","effect_log2","average_expression","t","p_value","q_genome","contrast","present_after_variance_filter","q_candidate"
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate","ITGA2",0.0230534658186778,3.98720147331507,0.410617031128399,0.691314896511022,0.891062889183594,"tgfb_x_tead_interaction",TRUE,0.740694531976094
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","PARVA",-0.0456650536377667,3.9459710663301,-1.67980007828031,0.12858240178431,0.621225688159179,"tgfb_x_tead_interaction",TRUE,0.241092003345581
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","ITGA5",-0.0413075898069177,4.05234908285335,-2.62665852117618,0.0283604182535753,0.361964838319316,"tgfb_x_tead_interaction",TRUE,0.0709010456339382
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","FERMT2",-0.0703133588904192,3.99591669837334,-3.09866768614007,0.0133298461363409,0.264063373930169,"tgfb_x_tead_interaction",TRUE,0.0399895384090227
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CFL1",-0.00344620434248188,4.06180218535654,-0.0994634876072598,0.923031899479357,0.979413298179543,"tgfb_x_tead_interaction",TRUE,0.923031899479357
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","LIMK1",-0.00971981953015,3.96216169897745,-0.58191734283015,0.575437979624486,0.8361123669783,"tgfb_x_tead_interaction",TRUE,0.663966899566715
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CNN2",-0.0839329305977983,3.88494612862186,-3.54488334743173,0.00664871972880397,0.190143019057419,"tgfb_x_tead_interaction",TRUE,0.0249326989830149
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CDC42",-0.0190308130936323,3.99110343777552,-1.05263218954094,0.320960006599257,0.70599480139005,"tgfb_x_tead_interaction",TRUE,0.481440009898886
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate","PIEZO2",-0.0495277144143094,3.8129883012848,-0.935920811670851,0.374647318486099,0.731164978443185,"tgfb_x_tead_interaction",TRUE,0.510882707026499
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate","TMEM63B",0.0946679782381565,3.77100003503574,4.03120920491201,0.00320369408239238,0.13020728092009,"tgfb_x_tead_interaction",TRUE,0.0160184704119619
"PANX1","mechanosensor_channels",FALSE,"not_supported_in_paired_sample_analysis","mechanosensor_specificity_candidate","PANX1",-0.139421756358506,3.70552875971427,-4.05619568769283,0.00308844600228168,0.128368885349244,"tgfb_x_tead_interaction",TRUE,0.0160184704119619
"NF2","hippo_yap_taz",TRUE,"consistent_sample_level_support","downstream_mechanotransduction_candidate","NF2",-0.121209018053814,3.73632918309438,-4.25326323789372,0.00232063482585828,0.111379041223224,"tgfb_x_tead_interaction",TRUE,0.0160184704119619
"TEAD1","hippo_yap_taz",FALSE,"not_supported_in_paired_sample_analysis","downstream_mechanotransduction_candidate","TEAD1",-0.0267392578964176,3.96849299741764,-0.6548082046534,0.529577120552703,0.813376828373512,"tgfb_x_tead_interaction",TRUE,0.661971400690879
