"sample","source","condition","seurat_cluster","reproduced_identity","module","pseudobulk_module_score","singlet_cells","library_size","identity_rank_within_sample","myofib_minus_best_other"
"DD3","DD","DD",3,"Pericyte","hippo_yap_taz",0.181920466836345,337,1138632.08827108,1,-0.181272337198072
"Dermis1","Dermis","Uninjured",0,"FB","hippo_yap_taz",-0.0996327038813471,1765,5467424.98379701,2,NA
"Dermis1","Dermis","Uninjured",2,"VSMC","hippo_yap_taz",0.0707011518698675,862,2294646.63582506,1,NA
"Dermis1","Dermis","Uninjured",3,"Pericyte","hippo_yap_taz",-0.169054187332917,51,90889.2168124495,3,NA
"Dermis2","Dermis","Uninjured",0,"FB","hippo_yap_taz",-0.104646389507436,283,606645.954668903,4,0.251761686885385
"Dermis2","Dermis","Uninjured",1,"Myofib","hippo_yap_taz",0.529654826360354,4,12361.6082313419,1,0.251761686885385
"Dermis2","Dermis","Uninjured",2,"VSMC","hippo_yap_taz",-0.0220484163543446,171,366509.533865956,3,0.251761686885385
"Dermis2","Dermis","Uninjured",3,"Pericyte","hippo_yap_taz",0.277893139474969,64,95019.1624545057,2,0.251761686885385
"Dermis3","Dermis","Uninjured",0,"FB","hippo_yap_taz",-0.0806366200385657,389,1614383.17757474,3,NA
"Dermis3","Dermis","Uninjured",2,"VSMC","hippo_yap_taz",-0.0144468308796905,652,2128434.59444131,2,NA
"Dermis3","Dermis","Uninjured",3,"Pericyte","hippo_yap_taz",0.222453323815929,25,43085.4678852978,1,NA
"SF1","SF","Uninjured",0,"FB","hippo_yap_taz",-0.251895568864067,1199,5729864.87756597,4,-0.145738186522785
"SF1","SF","Uninjured",1,"Myofib","hippo_yap_taz",-0.132616553334461,1,3176.06799447985,2,-0.145738186522785
"SF1","SF","Uninjured",2,"VSMC","hippo_yap_taz",-0.221116473910458,367,1665579.15998533,3,-0.145738186522785
"SF1","SF","Uninjured",3,"Pericyte","hippo_yap_taz",0.0131216331883241,107,390347.360296792,1,-0.145738186522785
"SF2","SF","Uninjured",0,"FB","hippo_yap_taz",-0.0253347132130536,885,6504502.65085137,4,-0.149289397424173
"SF2","SF","Uninjured",1,"Myofib","hippo_yap_taz",0.110605534391373,13,68914.7910862474,3,-0.149289397424173
"SF2","SF","Uninjured",2,"VSMC","hippo_yap_taz",0.249142257664241,198,1505244.5691408,2,-0.149289397424173
"SF2","SF","Uninjured",3,"Pericyte","hippo_yap_taz",0.259894931815546,53,214217.450766183,1,-0.149289397424173
"SF3","SF","Uninjured",0,"FB","hippo_yap_taz",-0.162907971626737,369,2290169.69525231,3,NA
"SF3","SF","Uninjured",2,"VSMC","hippo_yap_taz",0.153501658484837,65,443972.448860167,1,NA
"SF3","SF","Uninjured",3,"Pericyte","hippo_yap_taz",0.0183334238379671,12,42138.6339430442,2,NA
"DD1","DD","DD",0,"FB","hypoxia",-0.0396768300864959,831,2349260.25251866,3,0.0439679130743948
"DD1","DD","DD",1,"Myofib","hypoxia",0.085815136656557,106,833504.751771542,1,0.0439679130743948
"DD1","DD","DD",2,"VSMC","hypoxia",0.0418472235821622,512,1406122.42818261,2,0.0439679130743948
"DD1","DD","DD",3,"Pericyte","hypoxia",-0.0544510173601188,487,1491281.66749562,4,0.0439679130743948
"DD2","DD","DD",0,"FB","hypoxia",-0.026263479378988,1426,7157699.18649563,4,-0.0081724307073103
"DD2","DD","DD",1,"Myofib","hypoxia",0.0205317714415929,2216,22181565.6436082,2,-0.0081724307073103
"DD2","DD","DD",2,"VSMC","hypoxia",0.00155050688642818,331,1090646.38574983,3,-0.0081724307073103
"DD2","DD","DD",3,"Pericyte","hypoxia",0.0287042021489032,284,999385.800593251,1,-0.0081724307073103
"DD3","DD","DD",0,"FB","hypoxia",0.0243495286495061,568,1923766.15659188,1,-0.0188144997813255
"DD3","DD","DD",1,"Myofib","hypoxia",0.00553502886818058,1640,13512556.3900719,2,-0.0188144997813255
"DD3","DD","DD",2,"VSMC","hypoxia",-0.184314525543888,389,1178850.46591961,4,-0.0188144997813255
"DD3","DD","DD",3,"Pericyte","hypoxia",-0.158603556579566,337,1138632.08827108,3,-0.0188144997813255
"Dermis1","Dermis","Uninjured",0,"FB","hypoxia",-0.0785621474902072,1765,5467424.98379701,3,NA
"Dermis1","Dermis","Uninjured",2,"VSMC","hypoxia",-0.0590776954137963,862,2294646.63582506,2,NA
"Dermis1","Dermis","Uninjured",3,"Pericyte","hypoxia",0.103549684107046,51,90889.2168124495,1,NA
"Dermis2","Dermis","Uninjured",0,"FB","hypoxia",-0.255517097948531,283,606645.954668903,3,-0.679221643720414
"Dermis2","Dermis","Uninjured",1,"Myofib","hypoxia",-0.58895057327792,4,12361.6082313419,4,-0.679221643720414
"Dermis2","Dermis","Uninjured",2,"VSMC","hypoxia",0.0902710704424945,171,366509.533865956,1,-0.679221643720414
"Dermis2","Dermis","Uninjured",3,"Pericyte","hypoxia",0.0331919058239303,64,95019.1624545057,2,-0.679221643720414
"Dermis3","Dermis","Uninjured",0,"FB","hypoxia",-0.209907446640452,389,1614383.17757474,3,NA
"Dermis3","Dermis","Uninjured",2,"VSMC","hypoxia",0.00226329750598284,652,2128434.59444131,1,NA
"Dermis3","Dermis","Uninjured",3,"Pericyte","hypoxia",-0.0829471154792228,25,43085.4678852978,2,NA
"SF1","SF","Uninjured",0,"FB","hypoxia",0.274055627677931,1199,5729864.87756597,3,0.689499276688943
"SF1","SF","Uninjured",1,"Myofib","hypoxia",1.25665815622474,1,3176.06799447985,1,0.689499276688943
"SF1","SF","Uninjured",2,"VSMC","hypoxia",0.243955352286862,367,1665579.15998533,4,0.689499276688943
"SF1","SF","Uninjured",3,"Pericyte","hypoxia",0.567158879535797,107,390347.360296792,2,0.689499276688943
"SF2","SF","Uninjured",0,"FB","hypoxia",0.00657858823134727,885,6504502.65085137,1,-0.139472550948914
"SF2","SF","Uninjured",1,"Myofib","hypoxia",-0.132893962717567,13,68914.7910862474,4,-0.139472550948914
"SF2","SF","Uninjured",2,"VSMC","hypoxia",-0.0487359083999858,198,1505244.5691408,2,-0.139472550948914
"SF2","SF","Uninjured",3,"Pericyte","hypoxia",-0.0674047989963955,53,214217.450766183,3,-0.139472550948914
"SF3","SF","Uninjured",0,"FB","hypoxia",-0.0791918675324396,369,2290169.69525231,1,NA
"SF3","SF","Uninjured",2,"VSMC","hypoxia",-0.240987347719678,65,443972.448860167,2,NA
"SF3","SF","Uninjured",3,"Pericyte","hypoxia",-0.478530589504208,12,42138.6339430442,3,NA
"DD1","DD","DD",0,"FB","inflammation_ap1_nfkb",0.336071705832481,831,2349260.25251866,1,-1.28252526087463
"DD1","DD","DD",1,"Myofib","inflammation_ap1_nfkb",-0.946453555042151,106,833504.751771542,4,-1.28252526087463
"DD1","DD","DD",2,"VSMC","inflammation_ap1_nfkb",0.110166679534375,512,1406122.42818261,2,-1.28252526087463
"DD1","DD","DD",3,"Pericyte","inflammation_ap1_nfkb",0.0647819489009538,487,1491281.66749562,3,-1.28252526087463
"DD2","DD","DD",0,"FB","inflammation_ap1_nfkb",0.273113292859841,1426,7157699.18649563,3,-1.11514236750147
"DD2","DD","DD",1,"Myofib","inflammation_ap1_nfkb",-0.670230887329951,2216,22181565.6436082,4,-1.11514236750147
"DD2","DD","DD",2,"VSMC","inflammation_ap1_nfkb",0.311508850900533,331,1090646.38574983,2,-1.11514236750147
"DD2","DD","DD",3,"Pericyte","inflammation_ap1_nfkb",0.444911480171519,284,999385.800593251,1,-1.11514236750147
"DD3","DD","DD",0,"FB","inflammation_ap1_nfkb",-0.14598919686758,568,1923766.15659188,2,-0.730223500341785
"DD3","DD","DD",1,"Myofib","inflammation_ap1_nfkb",-0.839475339059123,1640,13512556.3900719,4,-0.730223500341785
"DD3","DD","DD",2,"VSMC","inflammation_ap1_nfkb",-0.109251838717338,389,1178850.46591961,1,-0.730223500341785
"DD3","DD","DD",3,"Pericyte","inflammation_ap1_nfkb",-0.289193431425478,337,1138632.08827108,3,-0.730223500341785
"Dermis1","Dermis","Uninjured",0,"FB","inflammation_ap1_nfkb",0.470314207368668,1765,5467424.98379701,2,NA
"Dermis1","Dermis","Uninjured",2,"VSMC","inflammation_ap1_nfkb",0.407571267306145,862,2294646.63582506,3,NA
"Dermis1","Dermis","Uninjured",3,"Pericyte","inflammation_ap1_nfkb",0.543774438698134,51,90889.2168124495,1,NA
"Dermis2","Dermis","Uninjured",0,"FB","inflammation_ap1_nfkb",-0.214736447848839,283,606645.954668903,3,-0.601968823176794
"Dermis2","Dermis","Uninjured",1,"Myofib","inflammation_ap1_nfkb",-0.404108506246249,4,12361.6082313419,4,-0.601968823176794
"Dermis2","Dermis","Uninjured",2,"VSMC","inflammation_ap1_nfkb",-0.0354163629100346,171,366509.533865956,2,-0.601968823176794
"Dermis2","Dermis","Uninjured",3,"Pericyte","inflammation_ap1_nfkb",0.197860316930545,64,95019.1624545057,1,-0.601968823176794
"Dermis3","Dermis","Uninjured",0,"FB","inflammation_ap1_nfkb",-0.887648851990174,389,1614383.17757474,3,NA
"Dermis3","Dermis","Uninjured",2,"VSMC","inflammation_ap1_nfkb",-0.289871306270738,652,2128434.59444131,1,NA
"Dermis3","Dermis","Uninjured",3,"Pericyte","inflammation_ap1_nfkb",-0.302046163767453,25,43085.4678852978,2,NA
"SF1","SF","Uninjured",0,"FB","inflammation_ap1_nfkb",1.05934585292062,1199,5729864.87756597,1,-1.25561332507318
"SF1","SF","Uninjured",1,"Myofib","inflammation_ap1_nfkb",-0.196267472152563,1,3176.06799447985,4,-1.25561332507318
"SF1","SF","Uninjured",2,"VSMC","inflammation_ap1_nfkb",0.694141205065812,367,1665579.15998533,3,-1.25561332507318
"SF1","SF","Uninjured",3,"Pericyte","inflammation_ap1_nfkb",0.969959438778358,107,390347.360296792,2,-1.25561332507318
"SF2","SF","Uninjured",0,"FB","inflammation_ap1_nfkb",-0.309868471375236,885,6504502.65085137,3,-0.745231458809077
"SF2","SF","Uninjured",1,"Myofib","inflammation_ap1_nfkb",-0.571998676369382,13,68914.7910862474,4,-0.745231458809077
"SF2","SF","Uninjured",2,"VSMC","inflammation_ap1_nfkb",0.173232782439695,198,1505244.5691408,1,-0.745231458809077
"SF2","SF","Uninjured",3,"Pericyte","inflammation_ap1_nfkb",-0.00817655992617181,53,214217.450766183,2,-0.745231458809077
"SF3","SF","Uninjured",0,"FB","inflammation_ap1_nfkb",-0.130369872084991,369,2290169.69525231,3,NA
"SF3","SF","Uninjured",2,"VSMC","inflammation_ap1_nfkb",0.0989072452592352,65,443972.448860167,2,NA
"SF3","SF","Uninjured",3,"Pericyte","inflammation_ap1_nfkb",0.195442226416536,12,42138.6339430442,1,NA
"DD1","DD","DD",0,"FB","integrin_focal_adhesion",-0.0179595391738634,831,2349260.25251866,2,0.0888417525058573
"DD1","DD","DD",1,"Myofib","integrin_focal_adhesion",0.0708822133319939,106,833504.751771542,1,0.0888417525058573
"DD1","DD","DD",2,"VSMC","integrin_focal_adhesion",-0.285664751881507,512,1406122.42818261,4,0.0888417525058573
"DD1","DD","DD",3,"Pericyte","integrin_focal_adhesion",-0.240681307665747,487,1491281.66749562,3,0.0888417525058573
"DD2","DD","DD",0,"FB","integrin_focal_adhesion",0.0213587255433582,1426,7157699.18649563,2,0.289085652522457
"DD2","DD","DD",1,"Myofib","integrin_focal_adhesion",0.310444378065815,2216,22181565.6436082,1,0.289085652522457
"DD2","DD","DD",2,"VSMC","integrin_focal_adhesion",-0.0213657822396701,331,1090646.38574983,4,0.289085652522457
"DD2","DD","DD",3,"Pericyte","integrin_focal_adhesion",0.00598562876800932,284,999385.800593251,3,0.289085652522457
"DD3","DD","DD",0,"FB","integrin_focal_adhesion",0.0279766258010162,568,1923766.15659188,4,0.0590780518469721
"DD3","DD","DD",1,"Myofib","integrin_focal_adhesion",0.12844720385722,1640,13512556.3900719,1,0.0590780518469721
"DD3","DD","DD",2,"VSMC","integrin_focal_adhesion",0.0425021545783764,389,1178850.46591961,3,0.0590780518469721
"DD3","DD","DD",3,"Pericyte","integrin_focal_adhesion",0.0693691520102479,337,1138632.08827108,2,0.0590780518469721
"Dermis1","Dermis","Uninjured",0,"FB","integrin_focal_adhesion",-0.344162930755586,1765,5467424.98379701,2,NA
"Dermis1","Dermis","Uninjured",2,"VSMC","integrin_focal_adhesion",-0.202317045361277,862,2294646.63582506,1,NA
"Dermis1","Dermis","Uninjured",3,"Pericyte","integrin_focal_adhesion",-0.344324705586869,51,90889.2168124495,3,NA
"Dermis2","Dermis","Uninjured",0,"FB","integrin_focal_adhesion",-0.0513361079363872,283,606645.954668903,1,-0.0345710343019691
"Dermis2","Dermis","Uninjured",1,"Myofib","integrin_focal_adhesion",-0.0859071422383563,4,12361.6082313419,2,-0.0345710343019691
"Dermis2","Dermis","Uninjured",2,"VSMC","integrin_focal_adhesion",-0.134255048056101,171,366509.533865956,3,-0.0345710343019691
"Dermis2","Dermis","Uninjured",3,"Pericyte","integrin_focal_adhesion",-0.366180639126818,64,95019.1624545057,4,-0.0345710343019691
"Dermis3","Dermis","Uninjured",0,"FB","integrin_focal_adhesion",-0.108510324264873,389,1614383.17757474,3,NA
"Dermis3","Dermis","Uninjured",2,"VSMC","integrin_focal_adhesion",0.0257560836787172,652,2128434.59444131,2,NA
"Dermis3","Dermis","Uninjured",3,"Pericyte","integrin_focal_adhesion",0.36125785726223,25,43085.4678852978,1,NA
"SF1","SF","Uninjured",0,"FB","integrin_focal_adhesion",-0.169543691066816,1199,5729864.87756597,3,1.01832774831275
"SF1","SF","Uninjured",1,"Myofib","integrin_focal_adhesion",0.882390572115435,1,3176.06799447985,1,1.01832774831275
"SF1","SF","Uninjured",2,"VSMC","integrin_focal_adhesion",-0.297437907887455,367,1665579.15998533,4,1.01832774831275
"SF1","SF","Uninjured",3,"Pericyte","integrin_focal_adhesion",-0.135937176197311,107,390347.360296792,2,1.01832774831275
"SF2","SF","Uninjured",0,"FB","integrin_focal_adhesion",0.347034418690716,885,6504502.65085137,1,-0.469163895243677
"SF2","SF","Uninjured",1,"Myofib","integrin_focal_adhesion",-0.122129476552961,13,68914.7910862474,4,-0.469163895243677
"SF2","SF","Uninjured",2,"VSMC","integrin_focal_adhesion",0.271649258269927,198,1505244.5691408,2,-0.469163895243677
"SF2","SF","Uninjured",3,"Pericyte","integrin_focal_adhesion",0.160691168885673,53,214217.450766183,3,-0.469163895243677
"SF3","SF","Uninjured",0,"FB","integrin_focal_adhesion",0.249441703440994,369,2290169.69525231,1,NA
"SF3","SF","Uninjured",2,"VSMC","integrin_focal_adhesion",-0.0545091356247864,65,443972.448860167,3,NA
"SF3","SF","Uninjured",3,"Pericyte","integrin_focal_adhesion",0.00703556731665603,12,42138.6339430442,2,NA
"DD1","DD","DD",0,"FB","mechanosensor_channels",0.278277373940213,831,2349260.25251866,1,-0.118817518175756
