"module","gene","step06_candidate_tier","myofib_percent_cells_expressing","myofib_mean_log_normalized_expression","DD_samples","median_Myofib_minus_FB","minimum_Myofib_minus_FB","positive_fraction_vs_FB","median_Myofib_minus_VSMC","minimum_Myofib_minus_VSMC","positive_fraction_vs_VSMC","median_Myofib_minus_Pericyte","minimum_Myofib_minus_Pericyte","positive_fraction_vs_Pericyte","minimum_difference_over_all_donors_and_identities","specificity_class"
"actomyosin_rho","TPM2","A_consistent_DD_myofib_enrichment",87.6884422110553,1.53231406080753,3,2.03787264343995,1.85335557154436,1,-2.96771764079379,-3.02943655947044,0,-1.09631696294983,-1.52448836941119,0,-3.02943655947044,"robust_over_FB_but_not_all_identities"
"actomyosin_rho","MYL9","A_consistent_DD_myofib_enrichment",90.0251256281407,1.58343538439236,3,0.685672329153517,0.577633808258348,1,-3.34559594487224,-3.40169177171319,0,-1.98891318526911,-2.52429105950747,0,-3.40169177171319,"robust_over_FB_but_not_all_identities"
"actomyosin_rho","CNN1","A_consistent_DD_myofib_enrichment",23.7185929648241,0.188960962812576,3,3.92367327003759,3.07096541386027,1,-3.38587437084351,-4.31408783114258,0,-1.42259175337361,-1.60200754826411,0,-4.31408783114258,"robust_over_FB_but_not_all_identities"
"actomyosin_rho","ACTA2","A_consistent_DD_myofib_enrichment",62.4874371859297,0.798825585655452,3,2.39580876832058,2.20229484911382,1,-4.35474443120735,-4.41635887991814,0,-2.83423057022812,-3.13480478935723,0,-4.41635887991814,"robust_over_FB_but_not_all_identities"
"actomyosin_rho","MYLK","A_consistent_DD_myofib_enrichment",22.3115577889447,0.195138510127727,3,0.723116710609583,0.271417781699297,1,-3.79752153458414,-4.65466182461732,0,-3.44098491436979,-4.53954634794548,0,-4.65466182461732,"robust_over_FB_but_not_all_identities"
"mechanosensor_channels","TRPA1","C_no_specific_enrichment",0,0,3,0,0,0,0,0,0,0,0,0,0,"donor_or_identity_dependent"
"hippo_yap_taz","WWTR1","B_partial_support",52.3618090452261,0.484660011547739,3,1.08797669727459,-0.0121193558462016,0.666666666666667,1.32466573011415,0.533490629256823,1,1.31556315258815,0.719460581226329,1,-0.0121193558462016,"donor_or_identity_dependent"
"mechanosensor_channels","PKD1","B_partial_support",37.9145728643216,0.32968207517137,3,0.152105202094978,-0.340503378429694,0.666666666666667,1.0555908069636,0.718301695669115,1,0.994234465103388,0.806090755661506,1,-0.340503378429694,"donor_or_identity_dependent"
"integrin_focal_adhesion","TLN2","B_partial_support",15.5025125628141,0.114004811152139,3,0.135537812117344,-0.536285026401899,0.666666666666667,2.96029375866163,2.72154410234052,1,2.10520556150282,2.00862708891288,1,-0.536285026401899,"donor_or_identity_dependent"
"hippo_yap_taz","YAP1","B_partial_support",29.8241206030151,0.234764471438417,3,0.0110355320729436,-0.437239010421218,0.666666666666667,-0.427263024091228,-0.510847376396971,0.333333333333333,-0.182696356147738,-0.780858645665297,0,-0.780858645665297,"donor_or_identity_dependent"
