"gene","sample","comparator_identity","myofib_log2CPM","comparator_log2CPM","myofib_minus_comparator_log2CPM"
"LIMK1","DD3","FB",4.33292960336061,3.20628840426091,1.1266411990997
"LIMK1","DD3","VSMC",4.33292960336061,-1,5.33292960336061
"LIMK1","DD3","Pericyte",4.33292960336061,1.56458541669061,2.76834418667
"CNN2","DD1","FB",6.67275347173615,5.38341051621966,1.28934295551649
"CNN2","DD1","VSMC",6.67275347173615,6.50529646807631,0.167457003659838
"CNN2","DD1","Pericyte",6.67275347173615,5.97304497773049,0.699708494005654
"CNN2","DD2","FB",6.63490784312843,6.1076304245974,0.527277418531023
"CNN2","DD2","VSMC",6.63490784312843,6.38853005454712,0.246377788581312
"CNN2","DD2","Pericyte",6.63490784312843,6.42715157371114,0.207756269417287
"CNN2","DD3","FB",5.93730449645534,4.91202758157245,1.02527691488289
"CNN2","DD3","VSMC",5.93730449645534,5.48907643308565,0.448228063369687
"CNN2","DD3","Pericyte",5.93730449645534,5.81195020566115,0.125354290794189
"TEAD3","DD1","FB",2.70016581115261,1.96544345224779,0.734722358904817
"TEAD3","DD1","VSMC",2.70016581115261,4.53963156998025,-1.83946575882765
"TEAD3","DD1","Pericyte",2.70016581115261,4.36575719822226,-1.66559138706965
"TEAD3","DD2","FB",4.10560770638714,2.79033997763302,1.31526772875412
"TEAD3","DD2","VSMC",4.10560770638714,4.92471248071769,-0.819104774330548
"TEAD3","DD2","Pericyte",4.10560770638714,4.32446913855907,-0.218861432171927
"TEAD3","DD3","FB",3.98096352908623,2.96875297067078,1.01221055841544
"TEAD3","DD3","VSMC",3.98096352908623,5.00863884542072,-1.02767531633449
"TEAD3","DD3","Pericyte",3.98096352908623,4.33920072258278,-0.358237193496557
"PFN1","DD1","FB",10.4368500120027,9.56508824311461,0.871761768888126
"PFN1","DD1","VSMC",10.4368500120027,10.0013612612155,0.43548875078722
"PFN1","DD1","Pericyte",10.4368500120027,9.62774415486843,0.809105857134302
"PFN1","DD2","FB",10.315057051447,9.22538387846337,1.08967317298367
"PFN1","DD2","VSMC",10.315057051447,9.95961917242134,0.355437879025688
"PFN1","DD2","Pericyte",10.315057051447,9.46010227993624,0.854954771510796
"PFN1","DD3","FB",10.2735995308165,9.54325083450982,0.730348696306686
"PFN1","DD3","VSMC",10.2735995308165,10.5352675753126,-0.261668044496115
"PFN1","DD3","Pericyte",10.2735995308165,9.52477840225466,0.748821128561854
"CFL1","DD1","FB",10.4509890003427,9.60293604953187,0.848052950810803
"CFL1","DD1","VSMC",10.4509890003427,9.83782757411027,0.613161426232402
"CFL1","DD1","Pericyte",10.4509890003427,10.0277285729063,0.42326042743637
"CFL1","DD2","FB",10.4244941605034,9.50641759437651,0.918076566126841
"CFL1","DD2","VSMC",10.4244941605034,9.77717591743241,0.647318243070947
"CFL1","DD2","Pericyte",10.4244941605034,9.81652719881869,0.607966961684665
"CFL1","DD3","FB",10.2708830277581,9.62293956808696,0.647943459671165
"CFL1","DD3","VSMC",10.2708830277581,9.78937475531539,0.48150827244273
"CFL1","DD3","Pericyte",10.2708830277581,9.61443403218285,0.656448995575273
"TMEM63B","DD1","FB",4.18692344572883,3.78082764402459,0.406095801704242
"TMEM63B","DD1","VSMC",4.18692344572883,2.14534806434892,2.04157538137992
"TMEM63B","DD1","Pericyte",4.18692344572883,3.35361492746972,0.833308518259114
"TMEM63B","DD2","FB",4.26346595500269,3.27494344963315,0.98852250536954
"TMEM63B","DD2","VSMC",4.26346595500269,2.2676862923804,1.99577966262229
"TMEM63B","DD2","Pericyte",4.26346595500269,3.91588679269249,0.347579162310204
"TMEM63B","DD3","FB",4.74571987354917,3.96423206150504,0.781487812044132
"TMEM63B","DD3","VSMC",4.74571987354917,3.0300243103577,1.71569556319147
"TMEM63B","DD3","Pericyte",4.74571987354917,4.52059612581128,0.225123747737889
"ITGA5","DD1","FB",5.65069586186699,5.13680399529283,0.513891866574166
"ITGA5","DD1","VSMC",5.65069586186699,1.11704762565916,4.53364823620784
"ITGA5","DD1","Pericyte",5.65069586186699,2.59506899546554,3.05562686640146
"ITGA5","DD2","FB",6.35402237674438,5.58342126314741,0.770601113596971
"ITGA5","DD2","VSMC",6.35402237674438,3.40523814629685,2.94878423044752
"ITGA5","DD2","Pericyte",6.35402237674438,5.17409111286961,1.17993126387476
"ITGA5","DD3","FB",6.2179323510316,5.11056460905627,1.10736774197533
"ITGA5","DD3","VSMC",6.2179323510316,2.64954969316943,3.56838265786217
"ITGA5","DD3","Pericyte",6.2179323510316,4.28614569676763,1.93178665426397
"MYLK","DD1","FB",5.36397966392322,4.52703815390397,0.836941510019252
"MYLK","DD1","VSMC",5.36397966392322,8.85954373907864,-3.49556407515542
"MYLK","DD1","Pericyte",5.36397966392322,8.80496457829302,-3.44098491436979
"MYLK","DD2","FB",4.4393573823446,4.1679396006453,0.271417781699297
"MYLK","DD2","VSMC",4.4393573823446,9.09401920696192,-4.65466182461732
"MYLK","DD2","Pericyte",4.4393573823446,8.97890373029008,-4.53954634794548
"MYLK","DD3","FB",5.72228009869183,4.99916338808225,0.723116710609583
