"sample","source","seurat_cluster","reproduced_identity","singlet_cells","gene","percent_cells_expressing","mean_log_normalized_expression"
"Dermis3","Dermis","0","FB",389,"TRPV4",1.02827763496144,0.00932529473000891
"Dermis3","Dermis","0","FB",389,"TRPA1",0,0
"Dermis3","Dermis","0","FB",389,"TRPC1",2.82776349614396,0.0397042564548758
"Dermis3","Dermis","0","FB",389,"TRPC3",0.51413881748072,0.00710432422530229
"Dermis3","Dermis","0","FB",389,"TRPC6",2.05655526992288,0.0294468753164722
"Dermis3","Dermis","0","FB",389,"ASIC1",0.51413881748072,0.00542700624563568
"Dermis3","Dermis","0","FB",389,"ASIC2",1.02827763496144,0.0117351023557378
"Dermis3","Dermis","0","FB",389,"ASIC3",0.51413881748072,0.00674635557679355
"Dermis3","Dermis","0","FB",389,"KCNK2",0.51413881748072,0.00398190489779803
"Dermis3","Dermis","0","FB",389,"KCNK4",1.79948586118252,0.017175985425254
"Dermis3","Dermis","0","FB",389,"TMEM63A",6.16966580976864,0.0946168821579221
"Dermis3","Dermis","0","FB",389,"TMEM150C",2.5706940874036,0.0410986923736504
"Dermis3","Dermis","0","FB",389,"P2RX4",7.45501285347044,0.0897501164964566
"Dermis3","Dermis","0","FB",389,"P2RX7",2.31362467866324,0.0389196114998417
"Dermis3","Dermis","0","FB",389,"PDPN",13.3676092544987,0.141580657719182
"Dermis3","Dermis","0","FB",389,"SCX",1.2853470437018,0.00755279819505571
"Dermis3","Dermis","0","FB",389,"FAP",12.3393316195373,0.179612439183461
"Dermis3","Dermis","0","FB",389,"POSTN",38.8174807197943,0.795879334324214
"Dermis3","Dermis","0","FB",389,"PDGFRA",52.4421593830334,0.845279532661127
"Dermis3","Dermis","0","FB",389,"APOD",65.5526992287918,2.40765882734043
"SF1","SF","0","FB",1199,"CNN1",0.417014178482068,0.00360200370862336
"SF1","SF","0","FB",1199,"ITGA8",1.66805671392827,0.0218694938117364
"SF1","SF","0","FB",1199,"TAGLN",10.5087572977481,0.199265255469924
"SF1","SF","0","FB",1199,"ACTA2",0.500417014178482,0.0120146352096064
"SF1","SF","0","FB",1199,"TPM1",55.1292743953294,0.842380406307715
"SF1","SF","0","FB",1199,"TPM2",30.3586321934946,0.287498476273887
"SF1","SF","0","FB",1199,"ITGB1",66.8890742285238,1.00885237353331
"SF1","SF","0","FB",1199,"ITGAV",16.7639699749791,0.189210963723543
"SF1","SF","0","FB",1199,"BCAR1",5.83819849874896,0.0581846705494775
"SF1","SF","0","FB",1199,"PIEZO2",4.67055879899917,0.0562176140025236
"SF1","SF","0","FB",1199,"TEAD2",4.83736447039199,0.0496631824800204
"SF1","SF","0","FB",1199,"LIMK1",2.25187656380317,0.0240232340379032
"SF1","SF","0","FB",1199,"CNN2",5.42118432026689,0.0601556896407826
"SF1","SF","0","FB",1199,"TEAD3",3.25271059216013,0.0354428276386819
"SF1","SF","0","FB",1199,"PFN1",84.6538782318599,1.60892836561695
"SF1","SF","0","FB",1199,"CFL1",89.324437030859,1.80821199725996
"SF1","SF","0","FB",1199,"TMEM63B",5.00417014178482,0.056041024912264
"SF1","SF","0","FB",1199,"ITGA5",19.4328607172644,0.236287059638862
"SF1","SF","0","FB",1199,"MYLK",13.0942452043369,0.153029877728157
"SF1","SF","0","FB",1199,"ILK",41.9516263552961,0.51743801513259
"SF1","SF","0","FB",1199,"MYL9",53.0442035029191,0.798726171506136
"SF1","SF","0","FB",1199,"NF2",6.0884070058382,0.0673082952079737
"SF1","SF","0","FB",1199,"PARVA",22.1017514595496,0.253084687751748
"SF1","SF","0","FB",1199,"PKD2",10.0917431192661,0.115201912463034
"SF1","SF","0","FB",1199,"VCL",15.7631359466222,0.183012068895602
"SF1","SF","0","FB",1199,"TEAD4",0.583819849874896,0.00561361591478333
"SF1","SF","0","FB",1199,"ITGA2",0.667222685571309,0.00652074081550816
"SF1","SF","0","FB",1199,"WWTR1",8.84070058381985,0.0930060765233553
"SF1","SF","0","FB",1199,"FLNA",47.2060050041701,0.655072843679634
"SF1","SF","0","FB",1199,"PANX1",11.8432026688907,0.137834958635095
