"gene","omitted_DD_sample","comparator_identity","retained_samples","median_difference_after_omission","minimum_difference_after_omission","all_retained_differences_positive"
"PARVA","DD3","VSMC","DD1;DD2",2.24427324592408,2.23056232741665,TRUE
"PARVA","DD3","Pericyte","DD1;DD2",0.93378114800437,0.780319561801828,TRUE
"PKD2","DD1","FB","DD2;DD3",0.583424372977005,0.537353332896445,TRUE
"PKD2","DD1","VSMC","DD2;DD3",0.958352818883712,0.676187185384459,TRUE
"PKD2","DD1","Pericyte","DD2;DD3",0.0319058717821901,-0.379671993092543,FALSE
"PKD2","DD2","FB","DD1;DD3",0.664714615322845,0.629495413057565,TRUE
"PKD2","DD2","VSMC","DD1;DD3",1.80039819271041,1.24051845238296,TRUE
"PKD2","DD2","Pericyte","DD1;DD3",0.787436322186283,0.443483736656924,TRUE
"PKD2","DD3","FB","DD1;DD2",0.618643575242285,0.537353332896445,TRUE
"PKD2","DD3","VSMC","DD1;DD2",1.51823255921116,0.676187185384459,TRUE
"PKD2","DD3","Pericyte","DD1;DD2",0.37585845731155,-0.379671993092543,FALSE
"VCL","DD1","FB","DD2;DD3",0.359754541157286,0.154973442110597,TRUE
"VCL","DD1","VSMC","DD2;DD3",-0.633938568564242,-1.00029060964078,FALSE
"VCL","DD1","Pericyte","DD2;DD3",-0.602979984226228,-0.732373455114569,FALSE
"VCL","DD2","FB","DD1;DD3",0.445840311367876,0.154973442110597,TRUE
"VCL","DD2","VSMC","DD1;DD3",-0.670359990386368,-1.00029060964078,FALSE
"VCL","DD2","Pericyte","DD1;DD3",-0.714250858213969,-0.732373455114569,FALSE
"VCL","DD3","FB","DD1;DD2",0.650621410414565,0.564535640203975,TRUE
"VCL","DD3","VSMC","DD1;DD2",-0.304007949309831,-0.340429371131957,FALSE
"VCL","DD3","Pericyte","DD1;DD2",-0.584857387325628,-0.69612826131337,FALSE
"TEAD4","DD1","FB","DD2;DD3",2.23696757177623,1.053402921485,TRUE
"TEAD4","DD1","VSMC","DD2;DD3",-0.480145931659914,-0.568952960715139,FALSE
"TEAD4","DD1","Pericyte","DD2;DD3",-0.847242708260857,-0.997437493959862,FALSE
"TEAD4","DD2","FB","DD1;DD3",2.6324618480864,1.84439147410534,TRUE
"TEAD4","DD2","VSMC","DD1;DD3",0.155611870925401,-0.391338902604689,FALSE
"TEAD4","DD2","Pericyte","DD1;DD3",-0.427053782161636,-0.997437493959862,FALSE
"TEAD4","DD3","FB","DD1;DD2",1.44889719779517,1.053402921485,TRUE
"TEAD4","DD3","VSMC","DD1;DD2",0.0668048418701759,-0.568952960715139,FALSE
"TEAD4","DD3","Pericyte","DD1;DD2",-0.276858996462631,-0.697047922561852,FALSE
"ITGA2","DD1","FB","DD2;DD3",1.26659969451998,0.870189757035104,TRUE
"ITGA2","DD1","VSMC","DD2;DD3",3.35834535394356,3.21696489867185,TRUE
"ITGA2","DD1","Pericyte","DD2;DD3",4.02400130606728,3.21696489867185,TRUE
"ITGA2","DD2","FB","DD1;DD3",1.63141973787262,1.59982984374039,TRUE
"ITGA2","DD2","VSMC","DD1;DD3",3.86830777095272,3.49972580921526,TRUE
"ITGA2","DD2","Pericyte","DD1;DD3",4.53396372307644,4.23688973269017,TRUE
"ITGA2","DD3","FB","DD1;DD2",1.23500980038775,0.870189757035104,TRUE
"ITGA2","DD3","VSMC","DD1;DD2",3.72692731568101,3.21696489867185,TRUE
"ITGA2","DD3","Pericyte","DD1;DD2",3.72692731568101,3.21696489867185,TRUE
"WWTR1","DD1","FB","DD2;DD3",0.537928670714195,-0.0121193558462016,FALSE
"WWTR1","DD1","VSMC","DD2;DD3",1.21203920162285,0.533490629256823,TRUE
"WWTR1","DD1","Pericyte","DD2;DD3",1.06217177044633,0.719460581226329,TRUE
"WWTR1","DD2","FB","DD1;DD3",0.554752012086379,-0.0121193558462016,FALSE
"WWTR1","DD2","VSMC","DD1;DD3",0.929078179685488,0.533490629256823,TRUE
"WWTR1","DD2","Pericyte","DD1;DD3",1.01751186690724,0.719460581226329,TRUE
"WWTR1","DD3","FB","DD1;DD2",1.10480003864678,1.08797669727459,TRUE
"WWTR1","DD3","VSMC","DD1;DD2",1.60762675205152,1.32466573011415,TRUE
"WWTR1","DD3","Pericyte","DD1;DD2",1.36022305612724,1.31556315258815,TRUE
"FLNA","DD1","FB","DD2;DD3",0.553728443578626,0.425802383890232,TRUE
"FLNA","DD1","VSMC","DD2;DD3",-1.6720909519579,-1.85628030029338,FALSE
"FLNA","DD1","Pericyte","DD2;DD3",-0.18410481437965,-0.266692950307871,FALSE
"FLNA","DD2","FB","DD1;DD3",0.180818599038666,-0.0641651858129002,FALSE
"FLNA","DD2","VSMC","DD1;DD3",-1.59156185063056,-1.85628030029338,FALSE
"FLNA","DD2","Pericyte","DD1;DD3",-0.481395190863393,-0.696097431418915,FALSE
"FLNA","DD3","FB","DD1;DD2",0.30874465872706,-0.0641651858129002,FALSE
"FLNA","DD3","VSMC","DD1;DD2",-1.40737250229507,-1.48790160362241,FALSE
"FLNA","DD3","Pericyte","DD1;DD2",-0.398807054935172,-0.696097431418915,FALSE
"PANX1","DD1","FB","DD2;DD3",0.429714413451551,0.41839109234951,TRUE
"PANX1","DD1","VSMC","DD2;DD3",2.27221989255608,1.52101899656493,TRUE
"PANX1","DD1","Pericyte","DD2;DD3",1.44440177756007,1.38768773911955,TRUE
"PANX1","DD2","FB","DD1;DD3",0.285204362138737,0.129370989723882,TRUE
"PANX1","DD2","VSMC","DD1;DD3",1.41837667656929,1.31573435657366,TRUE
"PANX1","DD2","Pericyte","DD1;DD3",1.54581128821011,1.5011158160006,TRUE
"PANX1","DD3","FB","DD1;DD2",0.273881041036696,0.129370989723882,TRUE
"PANX1","DD3","VSMC","DD1;DD2",2.16957757256044,1.31573435657366,TRUE
"PANX1","DD3","Pericyte","DD1;DD2",1.48909724976959,1.38768773911955,TRUE
"TEAD1","DD1","FB","DD2;DD3",0.5369811192992,0.37795716193139,TRUE
"TEAD1","DD1","VSMC","DD2;DD3",1.69029265888688,1.38992937802548,TRUE
"TEAD1","DD1","Pericyte","DD2;DD3",0.597037608950067,0.395244895096575,TRUE
"TEAD1","DD2","FB","DD1;DD3",0.232936754399855,0.0879163468683197,TRUE
"TEAD1","DD2","VSMC","DD1;DD3",1.88871352653047,1.38992937802548,TRUE
"TEAD1","DD2","Pericyte","DD1;DD3",0.443286047767218,0.395244895096575,TRUE
"TEAD1","DD3","FB","DD1;DD2",0.391960711767665,0.0879163468683197,TRUE
