"source","unit_id","gene","difference"
"GSE130973 (5 subjects)","S4","CFL1",-0.387194070953643
"GSE130973 (5 subjects)","S4","CNN2",-0.047361105405123
"GSE130973 (5 subjects)","S4","FERMT2",0.369136284155734
"GSE130973 (5 subjects)","S4","ITGA2",-0.171153893752024
"GSE130973 (5 subjects)","S4","ITGA5",0.139180700446875
"GSE130973 (5 subjects)","S4","ITGAV",-0.0306153839251432
"GSE130973 (5 subjects)","S4","ITGB1",0.123550961719098
"GSE130973 (5 subjects)","S4","LIMK1",0.00761238103729599
"GSE130973 (5 subjects)","S4","NF2",0.00774447630106652
"GSE130973 (5 subjects)","S4","PANX1",-0.0592154558113035
"GSE130973 (5 subjects)","S4","PARVA",0.114946080215551
"GSE130973 (5 subjects)","S4","PIEZO2",0.0113908044031506
"GSE130973 (5 subjects)","S4","TEAD1",-0.0515342030307819
"GSE130973 (5 subjects)","S4","TMEM63B",0.0129439095056271
"GSE130973 (5 subjects)","S5","CDC42",-0.344323959349459
"GSE130973 (5 subjects)","S5","CFL1",-0.359742823846343
"GSE130973 (5 subjects)","S5","CNN2",-0.0278791575702371
"GSE130973 (5 subjects)","S5","FERMT2",0.217803413668264
"GSE130973 (5 subjects)","S5","ITGA2",-0.0831319495794405
"GSE130973 (5 subjects)","S5","ITGA5",0.055842169549868
"GSE130973 (5 subjects)","S5","ITGAV",0.104127611494581
"GSE130973 (5 subjects)","S5","ITGB1",0.318120722598356
"GSE130973 (5 subjects)","S5","LIMK1",0.00370572390713936
"GSE130973 (5 subjects)","S5","NF2",0.00678112429026322
"GSE130973 (5 subjects)","S5","PANX1",-0.032149535407754
"GSE130973 (5 subjects)","S5","PARVA",0.0662067436939823
"GSE130973 (5 subjects)","S5","PIEZO2",0.0237141275145769
"GSE130973 (5 subjects)","S5","TEAD1",0.0827729064232838
"GSE130973 (5 subjects)","S5","TMEM63B",-0.00827005975930122
