"module","role","gene","filename","identifier_type","matched_symbol","present","audit_error"
"tgf_fibrosis","competitor","ZEB1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ZEB1",TRUE,""
"tgf_fibrosis","competitor","CTGF","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CCN2",TRUE,""
"inflammation_ap1_nfkb","competitor","IL6","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","IL6",TRUE,""
"inflammation_ap1_nfkb","competitor","CXCL8","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CXCL8",TRUE,""
"inflammation_ap1_nfkb","competitor","CCL2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CCL2",TRUE,""
"inflammation_ap1_nfkb","competitor","CXCL1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CXCL1",TRUE,""
"inflammation_ap1_nfkb","competitor","CXCL2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CXCL2",TRUE,""
"inflammation_ap1_nfkb","competitor","CXCL3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CXCL3",TRUE,""
"inflammation_ap1_nfkb","competitor","TNF","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TNF",TRUE,""
"inflammation_ap1_nfkb","competitor","IL1B","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","IL1B",TRUE,""
"inflammation_ap1_nfkb","competitor","PTGS2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PTGS2",TRUE,""
"inflammation_ap1_nfkb","competitor","NFKB1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","NFKB1",TRUE,""
"inflammation_ap1_nfkb","competitor","NFKB2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","NFKB2",TRUE,""
"inflammation_ap1_nfkb","competitor","RELA","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","RELA",TRUE,""
"inflammation_ap1_nfkb","competitor","RELB","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","RELB",TRUE,""
"inflammation_ap1_nfkb","competitor","JUN","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","JUN",TRUE,""
"inflammation_ap1_nfkb","competitor","JUND","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","JUND",TRUE,""
"inflammation_ap1_nfkb","competitor","FOS","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","FOS",TRUE,""
"inflammation_ap1_nfkb","competitor","FOSB","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","FOSB",TRUE,""
"inflammation_ap1_nfkb","competitor","ATF3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ATF3",TRUE,""
"inflammation_ap1_nfkb","competitor","STAT3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","STAT3",TRUE,""
"inflammation_ap1_nfkb","competitor","SOCS3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","SOCS3",TRUE,""
"inflammation_ap1_nfkb","competitor","ICAM1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ICAM1",TRUE,""
"hypoxia","competitor","HIF1A","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","HIF1A",TRUE,""
"hypoxia","competitor","EPAS1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","EPAS1",TRUE,""
