"module","gene","source_database","source_id","myofib_percent_cells_expressing","myofib_mean_log_normalized_expression","DD_samples_evaluable","median_log2CPM_myofib_minus_FB","minimum_log2CPM_myofib_minus_FB","positive_fraction_myofib_vs_FB","median_log2CPM_myofib_minus_pooled_other","positive_fraction_myofib_vs_pooled_other","per_sample_myofib_minus_FB","candidate_tier"
"actomyosin_rho","MYLK","Reactome","R-HSA-5627117",22.3115577889447,0.195138510127727,3,0.723116710609583,0.271417781699297,1,-2.61473388399087,0,"DD1:0.837;DD2:0.271;DD3:0.723","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","ILK","Reactome","R-HSA-216083",80.8040201005025,1.04078866919359,3,0.70278671900491,0.624081279866592,1,0.303677047386248,1,"DD1:0.624;DD2:0.703;DD3:0.758","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","MYL9","Reactome","R-HSA-5627117",90.0251256281407,1.58343538439236,3,0.685672329153517,0.577633808258348,1,-1.79047948289228,0,"DD1:0.686;DD2:0.578;DD3:0.884","A_consistent_DD_myofib_enrichment"
"hippo_yap_taz","NF2","Reactome","R-HSA-2032785",24.5226130653266,0.186612097490528,3,0.676269203039121,0.66978360313263,1,0.972509682355736,1,"DD1:0.670;DD2:0.947;DD3:0.676","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","PARVA","Reactome","R-HSA-216083",63.0904522613065,0.631256003768288,3,0.664761007704452,0.655039327906664,1,0.933373999062033,1,"DD1:0.781;DD2:0.665;DD3:0.655","A_consistent_DD_myofib_enrichment"
"mechanosensor_channels","PKD2","GO_MSigDB","GO:0009612",35.7537688442211,0.296008604093436,3,0.629495413057565,0.537353332896445,1,0.717262459880754,1,"DD1:0.700;DD2:0.537;DD3:0.629","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","VCL","Reactome","R-HSA-216083",53.4924623115578,0.488499779462309,3,0.564535640203975,0.154973442110597,1,-0.0956352277390096,0.333333333333333,"DD1:0.737;DD2:0.565;DD3:0.155","A_consistent_DD_myofib_enrichment"
"hippo_yap_taz","TEAD4","Reactome","R-HSA-2032785",6.48241206030151,0.047538592423172,3,1.84439147410534,1.053402921485,1,0.467761847846244,1,"DD1:1.844;DD2:1.053;DD3:3.421","B_partial_support"
"integrin_focal_adhesion","ITGA2","Reactome","R-HSA-216083",6.03015075376884,0.0509680139618568,3,1.59982984374039,0.870189757035104,1,2.49624848076105,1,"DD1:1.600;DD2:0.870;DD3:1.663","B_partial_support"
"hippo_yap_taz","WWTR1","Reactome","R-HSA-2032785",52.3618090452261,0.484660011547739,3,1.08797669727459,-0.0121193558462016,0.666666666666667,1.19521187143554,1,"DD1:1.122;DD2:1.088;DD3:-0.012","B_partial_support"
"actomyosin_rho","FLNA","Reactome","R-HSA-5627117",79.8994974874372,1.01501991610545,3,0.425802383890232,-0.0641651858129002,0.666666666666667,-0.678895603511663,0.333333333333333,"DD1:-0.064;DD2:0.682;DD3:0.426","B_partial_support"
"mechanosensor_channels","PANX1","curated_mechanosensor_core","core_v1",12.2361809045226,0.0879345518401958,3,0.41839109234951,0.129370989723882,1,0.709807217630358,1,"DD1:0.129;DD2:0.418;DD3:0.441","B_partial_support"
"hippo_yap_taz","TEAD1","Reactome","R-HSA-2032785",25.9045226130653,0.205855075401145,3,0.37795716193139,0.0879163468683197,1,0.601130166922143,1,"DD1:0.088;DD2:0.696;DD3:0.378","B_partial_support"
"actomyosin_rho","CDC42","Reactome","R-HSA-5627117",86.5829145728643,1.26728540086909,3,0.200406001778298,0.109464210455107,1,0.257201570499792,1,"DD1:0.200;DD2:0.444;DD3:0.109","B_partial_support"
"integrin_focal_adhesion","FERMT2","Reactome","R-HSA-216083",59.4472361809045,0.582622014265601,3,0.18617847377481,0.00709043083923788,1,0.193482649400025,1,"DD1:0.251;DD2:0.186;DD3:0.007","B_partial_support"
"integrin_focal_adhesion","TLN1","Reactome","R-HSA-216083",58.2914572864322,0.563394933534653,3,0.166054592276525,0.0194329761900081,1,-0.631763870578692,0.333333333333333,"DD1:0.019;DD2:0.732;DD3:0.166","B_partial_support"
"mechanosensor_channels","PKD1","GO_MSigDB","GO:0009612",37.9145728643216,0.32968207517137,3,0.152105202094978,-0.340503378429694,0.666666666666667,0.452684297723166,1,"DD1:-0.341;DD2:0.522;DD3:0.152","B_partial_support"
"integrin_focal_adhesion","TLN2","Reactome","R-HSA-216083",15.5025125628141,0.114004811152139,3,0.135537812117344,-0.536285026401899,0.666666666666667,0.751263115678136,1,"DD1:0.136;DD2:0.495;DD3:-0.536","B_partial_support"
"actomyosin_rho","RAC1","Reactome","R-HSA-5627117",94.4472361809045,1.77930378984188,3,0.0347834712395407,0.0205347782227747,1,-0.0485923676805626,0,"DD1:0.148;DD2:0.021;DD3:0.035","B_partial_support"
"hippo_yap_taz","YAP1","Reactome","R-HSA-2032785",29.8241206030151,0.234764471438417,3,0.0110355320729436,-0.437239010421218,0.666666666666667,-0.141786069019005,0,"DD1:0.011;DD2:0.046;DD3:-0.437","B_partial_support"
