"sample","source","condition","seurat_cluster","reproduced_identity","module","pseudobulk_module_score","singlet_cells","library_size"
"Dermis1","Dermis","Uninjured","2","VSMC","ecm_remodeling",-0.949244304393213,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","ecm_remodeling",-0.662457662595169,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","ecm_remodeling",-0.969922721667286,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","ecm_remodeling",-1.08432341703942,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","ecm_remodeling",-0.510829395585624,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","ecm_remodeling",-0.673623044010984,65,443972.448860167
"DD1","DD","DD","2","VSMC","ecm_remodeling",-1.05670764292762,512,1406122.42818261
"DD2","DD","DD","2","VSMC","ecm_remodeling",-0.696410085027345,331,1090646.38574983
"DD3","DD","DD","2","VSMC","ecm_remodeling",-0.709184145922852,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","ecm_remodeling",-0.465474851047698,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","ecm_remodeling",-0.322766782681165,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","ecm_remodeling",-0.538078994097356,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","ecm_remodeling",-0.487734525300291,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","ecm_remodeling",0.140740282492514,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","ecm_remodeling",-0.108402412209954,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","ecm_remodeling",-0.136691995443958,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","ecm_remodeling",0.35336154327107,284,999385.800593251
"DD3","DD","DD","3","Pericyte","ecm_remodeling",0.420330387341036,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","tgf_fibrosis",-0.109781882204044,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","tgf_fibrosis",0.135444233073645,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","tgf_fibrosis",-0.0960730941301629,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","tgf_fibrosis",0.181089521900168,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","tgf_fibrosis",0.291918666907455,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","tgf_fibrosis",0.202725563303701,369,2290169.69525231
"DD1","DD","DD","0","FB","tgf_fibrosis",0.0567702501658487,831,2349260.25251866
"DD2","DD","DD","0","FB","tgf_fibrosis",0.0936218430445067,1426,7157699.18649563
"DD3","DD","DD","0","FB","tgf_fibrosis",0.116597642621334,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","tgf_fibrosis",0.602013577932041,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","tgf_fibrosis",0.245741791724374,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","tgf_fibrosis",-0.0461995932712795,13,68914.7910862474
"DD1","DD","DD","1","Myofib","tgf_fibrosis",-0.0782805706492864,106,833504.751771542
"DD2","DD","DD","1","Myofib","tgf_fibrosis",0.101031837391888,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","tgf_fibrosis",0.173846480260786,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","tgf_fibrosis",-0.138568681984333,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","tgf_fibrosis",-0.303394779239484,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","tgf_fibrosis",-0.140879449930979,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","tgf_fibrosis",-0.165690626213671,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","tgf_fibrosis",0.196414434876652,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","tgf_fibrosis",0.00848134403037389,65,443972.448860167
"DD1","DD","DD","2","VSMC","tgf_fibrosis",-0.0641706239304051,512,1406122.42818261
"DD2","DD","DD","2","VSMC","tgf_fibrosis",-0.0311462440097569,331,1090646.38574983
"DD3","DD","DD","2","VSMC","tgf_fibrosis",0.0433965128283678,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","tgf_fibrosis",-0.109720763428681,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","tgf_fibrosis",-0.61888400470736,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","tgf_fibrosis",-0.227396022109904,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","tgf_fibrosis",-0.283339738342862,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","tgf_fibrosis",0.255912329772643,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","tgf_fibrosis",-0.232050746765351,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","tgf_fibrosis",-0.173029963517366,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","tgf_fibrosis",0.167752911968057,284,999385.800593251
"DD3","DD","DD","3","Pericyte","tgf_fibrosis",-0.0541521573669138,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","inflammation_ap1_nfkb",0.470314207368668,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","inflammation_ap1_nfkb",-0.214736447848839,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","inflammation_ap1_nfkb",-0.887648851990174,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","inflammation_ap1_nfkb",1.05934585292062,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","inflammation_ap1_nfkb",-0.309868471375236,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","inflammation_ap1_nfkb",-0.130369872084991,369,2290169.69525231
"DD1","DD","DD","0","FB","inflammation_ap1_nfkb",0.336071705832481,831,2349260.25251866
"DD2","DD","DD","0","FB","inflammation_ap1_nfkb",0.273113292859841,1426,7157699.18649563
"DD3","DD","DD","0","FB","inflammation_ap1_nfkb",-0.14598919686758,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","inflammation_ap1_nfkb",-0.404108506246249,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","inflammation_ap1_nfkb",-0.196267472152563,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","inflammation_ap1_nfkb",-0.571998676369382,13,68914.7910862474
"DD1","DD","DD","1","Myofib","inflammation_ap1_nfkb",-0.946453555042151,106,833504.751771542
"DD2","DD","DD","1","Myofib","inflammation_ap1_nfkb",-0.670230887329951,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","inflammation_ap1_nfkb",-0.839475339059123,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","inflammation_ap1_nfkb",0.407571267306145,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","inflammation_ap1_nfkb",-0.0354163629100346,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","inflammation_ap1_nfkb",-0.289871306270738,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","inflammation_ap1_nfkb",0.694141205065812,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","inflammation_ap1_nfkb",0.173232782439695,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","inflammation_ap1_nfkb",0.0989072452592352,65,443972.448860167
"DD1","DD","DD","2","VSMC","inflammation_ap1_nfkb",0.110166679534375,512,1406122.42818261
"DD2","DD","DD","2","VSMC","inflammation_ap1_nfkb",0.311508850900533,331,1090646.38574983
"DD3","DD","DD","2","VSMC","inflammation_ap1_nfkb",-0.109251838717338,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","inflammation_ap1_nfkb",0.543774438698134,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","inflammation_ap1_nfkb",0.197860316930545,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","inflammation_ap1_nfkb",-0.302046163767453,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","inflammation_ap1_nfkb",0.969959438778358,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","inflammation_ap1_nfkb",-0.00817655992617181,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","inflammation_ap1_nfkb",0.195442226416536,12,42138.6339430442
