"sample","source","condition","seurat_cluster","reproduced_identity","module","singlet_cells","mean_cell_score","median_cell_score","sd_cell_score"
"SF1","SF","Uninjured","1","Myofib","hypoxia",1,0.0685719283833033,0.0685719283833033,NA
"SF1","SF","Uninjured","1","Myofib","cell_cycle",1,-0.0339220613183906,-0.0339220613183906,NA
"SF1","SF","Uninjured","1","Myofib","primary_mechanotransduction_composite",1,-0.0736431484236398,-0.0736431484236398,NA
"SF2","SF","Uninjured","1","Myofib","mechanosensor_channels",13,-0.0160016021276882,-0.0392695345251733,0.116255822485982
"SF2","SF","Uninjured","1","Myofib","integrin_focal_adhesion",13,-0.0371132300831406,-0.00571199066924916,0.135335714016189
"SF2","SF","Uninjured","1","Myofib","hippo_yap_taz",13,0.0506998449445564,0.0131441364825018,0.150641107723491
"SF2","SF","Uninjured","1","Myofib","actomyosin_rho",13,-0.108423603076194,-0.0937855717490474,0.12743745990485
"SF2","SF","Uninjured","1","Myofib","ecm_remodeling",13,1.30845895839097,1.33446403528448,0.313302863821617
"SF2","SF","Uninjured","1","Myofib","tgf_fibrosis",13,0.00836034665089251,-0.00711394346637056,0.123590487968243
"SF2","SF","Uninjured","1","Myofib","inflammation_ap1_nfkb",13,-0.10718906114331,-0.158609018868752,0.19473293533255
"SF2","SF","Uninjured","1","Myofib","hypoxia",13,-0.190991062505436,-0.196807026120016,0.0879171954962845
"SF2","SF","Uninjured","1","Myofib","cell_cycle",13,-0.0996740812186856,-0.0949682724179272,0.0615416907113101
"SF2","SF","Uninjured","1","Myofib","primary_mechanotransduction_composite",13,-0.0277096475856166,-0.0214149895102494,0.0688950377346454
"DD1","DD","DD","1","Myofib","mechanosensor_channels",106,-0.0509267408511727,-0.0626188725686314,0.0687273955743419
"DD1","DD","DD","1","Myofib","integrin_focal_adhesion",106,-0.0853364995670012,-0.103719936263459,0.163176459718595
"DD1","DD","DD","1","Myofib","hippo_yap_taz",106,-0.170255835950364,-0.192438699364322,0.146454895847508
"DD1","DD","DD","1","Myofib","actomyosin_rho",106,0.0446781386724998,-0.000400694938648249,0.270518183286384
"DD1","DD","DD","1","Myofib","ecm_remodeling",106,1.25152736279439,1.16453946576139,0.481910542691567
"DD1","DD","DD","1","Myofib","tgf_fibrosis",106,-0.169189184511374,-0.192750985462066,0.14609744157791
"DD1","DD","DD","1","Myofib","inflammation_ap1_nfkb",106,-0.347934113182662,-0.354424801821827,0.130077542354347
"DD1","DD","DD","1","Myofib","hypoxia",106,-0.141058024912684,-0.145283087309524,0.124047370178777
"DD1","DD","DD","1","Myofib","cell_cycle",106,-0.0750744341578582,-0.0784143032583277,0.0461142037128026
"DD1","DD","DD","1","Myofib","primary_mechanotransduction_composite",106,-0.0654602344240094,-0.0830721283431249,0.10741917096135
"DD2","DD","DD","1","Myofib","mechanosensor_channels",2216,-0.0689266813818203,-0.0746038255109937,0.0514820935558428
"DD2","DD","DD","1","Myofib","integrin_focal_adhesion",2216,-0.0252266492303629,-0.0248674449479342,0.10882331958399
"DD2","DD","DD","1","Myofib","hippo_yap_taz",2216,-0.208272470320804,-0.214342940738829,0.0922397877904111
"DD2","DD","DD","1","Myofib","actomyosin_rho",2216,0.13613423679282,0.140842963733882,0.234539758770353
"DD2","DD","DD","1","Myofib","ecm_remodeling",2216,1.44670565279362,1.43346447554358,0.231935576402421
"DD2","DD","DD","1","Myofib","tgf_fibrosis",2216,-0.190457345296397,-0.199243214669351,0.104216531201482
"DD2","DD","DD","1","Myofib","inflammation_ap1_nfkb",2216,-0.280352919685768,-0.297203668533095,0.142420366716067
"DD2","DD","DD","1","Myofib","hypoxia",2216,-0.166644198453289,-0.176134844445222,0.117067559607346
"DD2","DD","DD","1","Myofib","cell_cycle",2216,-0.0839038507018964,-0.0963610257070066,0.0762657510675779
"DD2","DD","DD","1","Myofib","primary_mechanotransduction_composite",2216,-0.0415728910350416,-0.0420553504887593,0.0757515084783842
"DD3","DD","DD","1","Myofib","mechanosensor_channels",1640,-0.0648127635895351,-0.0725084205290071,0.0626055503567663
"DD3","DD","DD","1","Myofib","integrin_focal_adhesion",1640,-0.0596672736934519,-0.0683488944486158,0.122784862255703
"DD3","DD","DD","1","Myofib","hippo_yap_taz",1640,-0.0821328893308135,-0.0924864567636131,0.131338070470642
"DD3","DD","DD","1","Myofib","actomyosin_rho",1640,0.160922231060705,0.154831609341236,0.219605255930889
"DD3","DD","DD","1","Myofib","ecm_remodeling",1640,1.3610592812134,1.33840753228887,0.373533127114563
"DD3","DD","DD","1","Myofib","tgf_fibrosis",1640,-0.112910030000313,-0.121681899502719,0.131643857688387
"DD3","DD","DD","1","Myofib","inflammation_ap1_nfkb",1640,-0.327186923633024,-0.344900634149175,0.137459003297364
"DD3","DD","DD","1","Myofib","hypoxia",1640,-0.159673008063346,-0.169545801600938,0.115237216777556
"DD3","DD","DD","1","Myofib","cell_cycle",1640,-0.0709718614276218,-0.0867160867366516,0.0932929735121098
"DD3","DD","DD","1","Myofib","primary_mechanotransduction_composite",1640,-0.0114226738882738,-0.0160355652200951,0.0818063198540156
"Dermis1","Dermis","Uninjured","2","VSMC","mechanosensor_channels",862,-0.0756372119462124,-0.0844736093748548,0.044829534524697
"Dermis1","Dermis","Uninjured","2","VSMC","integrin_focal_adhesion",862,-0.0546025314550048,-0.058844531023608,0.117289354184553
"Dermis1","Dermis","Uninjured","2","VSMC","hippo_yap_taz",862,-0.0970907441531064,-0.106219746447821,0.124821026899138
"Dermis1","Dermis","Uninjured","2","VSMC","actomyosin_rho",862,0.887496629036952,0.900849461614772,0.248002712113724
"Dermis1","Dermis","Uninjured","2","VSMC","ecm_remodeling",862,-0.686328605892076,-0.707377875843228,0.159097991946724
"Dermis1","Dermis","Uninjured","2","VSMC","tgf_fibrosis",862,-0.172429857789614,-0.187524565057633,0.108390950451898
"Dermis1","Dermis","Uninjured","2","VSMC","inflammation_ap1_nfkb",862,0.171187837664395,0.175133909647962,0.231403730160883
"Dermis1","Dermis","Uninjured","2","VSMC","hypoxia",862,-0.0770266062099089,-0.085684397730469,0.132379380482336
"Dermis1","Dermis","Uninjured","2","VSMC","cell_cycle",862,-0.0466009716368971,-0.0627620352993431,0.0552024019949273
"Dermis1","Dermis","Uninjured","2","VSMC","primary_mechanotransduction_composite",862,0.165041535370657,0.164688491700394,0.0803776860433693
"Dermis2","Dermis","Uninjured","2","VSMC","mechanosensor_channels",171,-0.0691589267114393,-0.0818694555756791,0.053506190615839
"Dermis2","Dermis","Uninjured","2","VSMC","integrin_focal_adhesion",171,-0.0187115998080568,-0.0130364609724076,0.121118214543147
"Dermis2","Dermis","Uninjured","2","VSMC","hippo_yap_taz",171,-0.103106671500394,-0.118932194302831,0.106895765916205
"Dermis2","Dermis","Uninjured","2","VSMC","actomyosin_rho",171,0.887299923570548,0.882111138443112,0.293564189558221
"Dermis2","Dermis","Uninjured","2","VSMC","ecm_remodeling",171,-0.562187023940902,-0.602483290985678,0.226764662062091
"Dermis2","Dermis","Uninjured","2","VSMC","tgf_fibrosis",171,-0.148938741952771,-0.159502580654938,0.119583519597308
"Dermis2","Dermis","Uninjured","2","VSMC","inflammation_ap1_nfkb",171,0.0619421801281733,0.039146342447473,0.220317027513813
"Dermis2","Dermis","Uninjured","2","VSMC","hypoxia",171,-0.0963957833930472,-0.113465777781594,0.137267193443062
"Dermis2","Dermis","Uninjured","2","VSMC","cell_cycle",171,-0.0584722767374085,-0.0710376820582369,0.0507343730406823
"Dermis2","Dermis","Uninjured","2","VSMC","primary_mechanotransduction_composite",171,0.174080681387665,0.17498285323158,0.0888059460422901
"Dermis3","Dermis","Uninjured","2","VSMC","mechanosensor_channels",652,-0.0903263767475841,-0.100099202527234,0.0468708744128412
"Dermis3","Dermis","Uninjured","2","VSMC","integrin_focal_adhesion",652,0.00246365054422001,-0.010426446419228,0.119282425397897
"Dermis3","Dermis","Uninjured","2","VSMC","hippo_yap_taz",652,-0.126621887384276,-0.139137841561353,0.119744526240756
"Dermis3","Dermis","Uninjured","2","VSMC","actomyosin_rho",652,0.98198461474381,0.992134040134159,0.247751924525643
"Dermis3","Dermis","Uninjured","2","VSMC","ecm_remodeling",652,-0.623864254023822,-0.649484870098259,0.18759674975544
"Dermis3","Dermis","Uninjured","2","VSMC","tgf_fibrosis",652,-0.19157256558281,-0.20815361644807,0.115520239693897
"Dermis3","Dermis","Uninjured","2","VSMC","inflammation_ap1_nfkb",652,-0.0963506382745129,-0.114626973544731,0.223347685585636
"Dermis3","Dermis","Uninjured","2","VSMC","hypoxia",652,-0.102843651080414,-0.106951073156722,0.117622664159154
"Dermis3","Dermis","Uninjured","2","VSMC","cell_cycle",652,-0.059456747186258,-0.0719400530828467,0.0569525829825818
"Dermis3","Dermis","Uninjured","2","VSMC","primary_mechanotransduction_composite",652,0.191875000289042,0.190769229837301,0.0792045655039282
"SF1","SF","Uninjured","2","VSMC","mechanosensor_channels",367,-0.0733581404222661,-0.0805280771410108,0.0384349552698368
"SF1","SF","Uninjured","2","VSMC","integrin_focal_adhesion",367,-0.0933861936485443,-0.0961746041809856,0.0971486920596032
"SF1","SF","Uninjured","2","VSMC","hippo_yap_taz",367,-0.177198243494346,-0.189411339367727,0.0906493649570088
"SF1","SF","Uninjured","2","VSMC","actomyosin_rho",367,0.882405300619628,0.905036947351045,0.251835905827328
"SF1","SF","Uninjured","2","VSMC","ecm_remodeling",367,-0.749904909453164,-0.764182279045207,0.128119816032649
"SF1","SF","Uninjured","2","VSMC","tgf_fibrosis",367,-0.199743136535511,-0.211834847559935,0.0949198993953305
"SF1","SF","Uninjured","2","VSMC","inflammation_ap1_nfkb",367,0.318626973568202,0.316816655014486,0.243406147157009
"SF1","SF","Uninjured","2","VSMC","hypoxia",367,-0.0224555422158683,-0.0282238774190753,0.115219421106863
"SF1","SF","Uninjured","2","VSMC","cell_cycle",367,-0.0516731465794001,-0.059861658089665,0.0410168977248086
"SF1","SF","Uninjured","2","VSMC","primary_mechanotransduction_composite",367,0.134615680763618,0.139746042382208,0.0696319670884441
"SF2","SF","Uninjured","2","VSMC","mechanosensor_channels",198,-0.112173443950172,-0.118816458865552,0.0468584949661426
"SF2","SF","Uninjured","2","VSMC","integrin_focal_adhesion",198,0.0500111218903817,0.0504745948693306,0.112962412236957
