"gsm_accession","characteristic_key","characteristic_value","original_text"
"GSM8490017","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490017","genotype","Wild-type","genotype: Wild-type"
"GSM8490018","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490018","genotype","hTERT","genotype: hTERT"
"GSM8490019","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490019","genotype","hTERT","genotype: hTERT"
"GSM8490020","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490020","genotype","hTERT","genotype: hTERT"
"GSM8490021","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490021","genotype","Wild-type","genotype: Wild-type"
"GSM8490022","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490022","genotype","Wild-type","genotype: Wild-type"
"GSM8490023","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490023","genotype","Wild-type","genotype: Wild-type"
"GSM8490024","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490024","genotype","hTERT","genotype: hTERT"
"GSM8490025","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490025","genotype","hTERT","genotype: hTERT"
"GSM8490026","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490026","genotype","hTERT","genotype: hTERT"
"GSM8490027","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490027","genotype","Wild-type","genotype: Wild-type"
"GSM8490028","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490028","genotype","Wild-type","genotype: Wild-type"
"GSM8490029","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490029","genotype","hTERT","genotype: hTERT"
"GSM8490030","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490030","genotype","hTERT","genotype: hTERT"
"GSM8490031","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490031","genotype","hTERT","genotype: hTERT"
"GSM8490032","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490032","genotype","Wild-type","genotype: Wild-type"
"GSM8490033","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490033","genotype","Wild-type","genotype: Wild-type"
"GSM8490034","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490034","genotype","Wild-type","genotype: Wild-type"
"GSM8490035","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490035","genotype","hTERT","genotype: hTERT"
"GSM8490036","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490036","genotype","hTERT","genotype: hTERT"
"GSM8490037","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490037","genotype","hTERT","genotype: hTERT"
"GSM8490038","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490038","genotype","Wild-type","genotype: Wild-type"
"GSM8490039","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490039","genotype","Wild-type","genotype: Wild-type"
"GSM8490040","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490040","genotype","Wild-type","genotype: Wild-type"
"GSM8490041","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490041","genotype","hTERT","genotype: hTERT"
"GSM8490042","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490042","genotype","hTERT","genotype: hTERT"
"GSM8490043","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490043","genotype","hTERT","genotype: hTERT"
"GSM8490044","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490044","genotype","Wild-type","genotype: Wild-type"
"GSM8490045","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490045","genotype","Wild-type","genotype: Wild-type"
"GSM8490046","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490046","genotype","Wild-type","genotype: Wild-type"
"GSM8490047","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490047","genotype","hTERT","genotype: hTERT"
"GSM8490048","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490048","genotype","hTERT","genotype: hTERT"
"GSM8490049","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490049","genotype","hTERT","genotype: hTERT"
"GSM8490050","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490050","genotype","Wild-type","genotype: Wild-type"
"GSM8490051","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490051","genotype","Wild-type","genotype: Wild-type"
"GSM8490052","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490052","genotype","Wild-type","genotype: Wild-type"
"GSM8490053","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490053","genotype","hTERT","genotype: hTERT"
"GSM8490054","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490054","genotype","hTERT","genotype: hTERT"
"GSM8490055","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490055","genotype","hTERT","genotype: hTERT"
"GSM8490056","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490056","genotype","Wild-type","genotype: Wild-type"
"GSM8490057","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490057","genotype","Wild-type","genotype: Wild-type"
"GSM8490058","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490058","genotype","Wild-type","genotype: Wild-type"
"GSM8490059","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490059","genotype","hTERT","genotype: hTERT"
"GSM8490060","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490060","genotype","hTERT","genotype: hTERT"
"GSM8490061","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490061","genotype","hTERT","genotype: hTERT"
"GSM8490062","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490062","genotype","Wild-type","genotype: Wild-type"
"GSM8490063","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490063","genotype","Wild-type","genotype: Wild-type"
"GSM8490064","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490064","genotype","Wild-type","genotype: Wild-type"
"GSM8490065","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490065","genotype","hTERT","genotype: hTERT"
"GSM8490066","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490066","genotype","hTERT","genotype: hTERT"
"GSM8490067","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490067","genotype","hTERT","genotype: hTERT"
"GSM8490068","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490068","genotype","Wild-type","genotype: Wild-type"
"GSM8490069","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490069","genotype","Wild-type","genotype: Wild-type"
"GSM8490070","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490070","genotype","Wild-type","genotype: Wild-type"
"GSM8490071","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490071","genotype","hTERT","genotype: hTERT"
"GSM8490072","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490072","genotype","hTERT","genotype: hTERT"
"GSM8490073","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490073","genotype","hTERT","genotype: hTERT"
"GSM8490074","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490074","genotype","Wild-type","genotype: Wild-type"
"GSM8490075","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490075","genotype","Wild-type","genotype: Wild-type"
"GSM8490076","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490076","genotype","Wild-type","genotype: Wild-type"
"GSM8490077","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490077","genotype","hTERT","genotype: hTERT"
"GSM8490078","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490078","genotype","hTERT","genotype: hTERT"
"GSM8490079","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490079","genotype","hTERT","genotype: hTERT"
"GSM8490080","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490080","genotype","Wild-type","genotype: Wild-type"
"GSM8490081","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490081","genotype","Wild-type","genotype: Wild-type"
"GSM8490082","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490082","genotype","Wild-type","genotype: Wild-type"
"GSM8490083","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490083","genotype","hTERT","genotype: hTERT"
"GSM8490084","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490084","genotype","hTERT","genotype: hTERT"
"GSM8490085","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490085","genotype","hTERT","genotype: hTERT"
"GSM8490086","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490086","genotype","Wild-type","genotype: Wild-type"
"GSM8490087","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490087","genotype","Wild-type","genotype: Wild-type"
"GSM8490088","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490088","genotype","Wild-type","genotype: Wild-type"
"GSM8490089","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490089","genotype","hTERT","genotype: hTERT"
"GSM8490090","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490090","genotype","hTERT","genotype: hTERT"
"GSM8490091","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490091","genotype","hTERT","genotype: hTERT"
"GSM8490092","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490092","genotype","Wild-type","genotype: Wild-type"
"GSM8490093","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490093","genotype","Wild-type","genotype: Wild-type"
"GSM8490094","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490094","genotype","Wild-type","genotype: Wild-type"
"GSM8490095","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490095","genotype","hTERT","genotype: hTERT"
"GSM8490096","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490096","genotype","hTERT","genotype: hTERT"
"GSM8490097","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490097","genotype","hTERT","genotype: hTERT"
"GSM8490098","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490098","genotype","Wild-type","genotype: Wild-type"
"GSM8490099","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490099","genotype","Wild-type","genotype: Wild-type"
"GSM8490100","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490100","genotype","Wild-type","genotype: Wild-type"
"GSM8490101","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490101","genotype","hTERT","genotype: hTERT"
"GSM8490102","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490102","genotype","hTERT","genotype: hTERT"
"GSM8490103","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490103","genotype","hTERT","genotype: hTERT"
"GSM8490104","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490104","genotype","Wild-type","genotype: Wild-type"
"GSM8490105","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490105","genotype","Wild-type","genotype: Wild-type"
"GSM8490106","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490106","genotype","Wild-type","genotype: Wild-type"
"GSM8490107","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490107","genotype","hTERT","genotype: hTERT"
"GSM8490108","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490108","genotype","hTERT","genotype: hTERT"
"GSM8490109","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490109","genotype","hTERT","genotype: hTERT"
"GSM8490110","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490110","genotype","Wild-type","genotype: Wild-type"
"GSM8490111","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490111","genotype","Wild-type","genotype: Wild-type"
"GSM8490112","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490112","genotype","Wild-type","genotype: Wild-type"
"GSM8490113","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490113","genotype","hTERT","genotype: hTERT"
"GSM8490114","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490114","genotype","hTERT","genotype: hTERT"
"GSM8490115","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490115","genotype","hTERT","genotype: hTERT"
"GSM8490116","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490116","genotype","Wild-type","genotype: Wild-type"
"GSM8490117","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490117","genotype","Wild-type","genotype: Wild-type"
"GSM8490118","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490118","genotype","Wild-type","genotype: Wild-type"
"GSM8490119","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490119","genotype","hTERT","genotype: hTERT"
"GSM8490120","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490120","genotype","hTERT","genotype: hTERT"
"GSM8490121","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490121","genotype","hTERT","genotype: hTERT"
"GSM8490122","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490122","genotype","Wild-type","genotype: Wild-type"
"GSM8490123","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490123","genotype","Wild-type","genotype: Wild-type"
"GSM8490124","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490124","genotype","Wild-type","genotype: Wild-type"
"GSM8490125","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490125","genotype","Wild-type","genotype: Wild-type"
"GSM8490126","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490126","genotype","Wild-type","genotype: Wild-type"
"GSM8490127","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490127","genotype","Wild-type","genotype: Wild-type"
"GSM8490128","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490128","genotype","hTERT","genotype: hTERT"
"GSM8490129","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490129","genotype","hTERT","genotype: hTERT"
"GSM8490130","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490130","genotype","hTERT","genotype: hTERT"
"GSM8490131","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490131","genotype","hTERT","genotype: hTERT"
"GSM8490132","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490132","genotype","hTERT","genotype: hTERT"
"GSM8490133","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490133","genotype","hTERT","genotype: hTERT"
"GSM8490134","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490134","genotype","hTERT","genotype: hTERT"
"GSM8490135","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490135","genotype","hTERT","genotype: hTERT"
"GSM8490136","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490136","genotype","hTERT","genotype: hTERT"
"GSM8490137","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490137","genotype","hTERT","genotype: hTERT"
"GSM8490138","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490138","genotype","hTERT","genotype: hTERT"
"GSM8490139","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490139","genotype","hTERT","genotype: hTERT"
"GSM8490140","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490140","genotype","hTERT","genotype: hTERT"
"GSM8490141","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490141","genotype","hTERT","genotype: hTERT"
"GSM8490142","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490142","genotype","hTERT","genotype: hTERT"
"GSM8490143","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490143","genotype","Wild-type","genotype: Wild-type"
"GSM8490144","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490144","genotype","Wild-type","genotype: Wild-type"
"GSM8490145","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490145","genotype","Wild-type","genotype: Wild-type"
"GSM8490146","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490146","genotype","Wild-type","genotype: Wild-type"
"GSM8490147","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490147","genotype","Wild-type","genotype: Wild-type"
"GSM8490148","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490148","genotype","hTERT","genotype: hTERT"
"GSM8490149","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490149","genotype","hTERT","genotype: hTERT"
"GSM8490150","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490150","genotype","hTERT","genotype: hTERT"
"GSM8490151","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490151","genotype","Wild-type","genotype: Wild-type"
"GSM8490152","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490152","genotype","Wild-type","genotype: Wild-type"
"GSM8490153","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490153","genotype","Wild-type","genotype: Wild-type"
"GSM8490154","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490154","genotype","Wild-type","genotype: Wild-type"
"GSM8490155","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490155","genotype","Wild-type","genotype: Wild-type"
"GSM8490156","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490156","genotype","hTERT","genotype: hTERT"
"GSM8490157","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490157","genotype","hTERT","genotype: hTERT"
"GSM8490158","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490158","genotype","hTERT","genotype: hTERT"
"GSM8490159","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490159","genotype","Wild-type","genotype: Wild-type"
"GSM8490160","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490160","genotype","Wild-type","genotype: Wild-type"
"GSM8490161","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490161","genotype","Wild-type","genotype: Wild-type"
"GSM8490162","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490162","genotype","hTERT","genotype: hTERT"
"GSM8490163","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490163","genotype","hTERT","genotype: hTERT"
"GSM8490164","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490164","genotype","hTERT","genotype: hTERT"
"GSM8490165","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490165","genotype","Wild-type","genotype: Wild-type"
"GSM8490166","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490166","genotype","Wild-type","genotype: Wild-type"
"GSM8490167","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490167","genotype","hTERT","genotype: hTERT"
"GSM8490168","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490168","genotype","hTERT","genotype: hTERT"
"GSM8490169","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490169","genotype","hTERT","genotype: hTERT"
"GSM8490170","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490170","genotype","Wild-type","genotype: Wild-type"
"GSM8490171","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490171","genotype","Wild-type","genotype: Wild-type"
"GSM8490172","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490172","genotype","hTERT","genotype: hTERT"
"GSM8490173","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490173","genotype","hTERT","genotype: hTERT"
"GSM8490174","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490174","genotype","hTERT","genotype: hTERT"
