"module","role","method","cell_line","contrast","contrast_value"
"inflammation_ap1_nfkb","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",-0.272531747351021
"inflammation_ap1_nfkb","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.0240132326372117
"inflammation_ap1_nfkb","competitor","zmedian","GM08401","mechanical_x_tgfb",0.24851851471381
"hypoxia","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.054239587479383
"hypoxia","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.525327229321566
"hypoxia","competitor","zmedian","GM09503","mechanical_x_tgfb",0.471087641842183
"hypoxia","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",-0.205434896111394
"hypoxia","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.188565840490387
"hypoxia","competitor","zmedian","GM08401","mechanical_x_tgfb",0.394000736601781
"cell_cycle","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",1.5954239886057
"cell_cycle","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",1.09023269042264
"cell_cycle","competitor","zmedian","GM09503","mechanical_x_tgfb",-0.505191298183062
"cell_cycle","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.208287106768639
"cell_cycle","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.634438486719587
"cell_cycle","competitor","zmedian","GM08401","mechanical_x_tgfb",-0.842725593488226
"mechanosensor_channels","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.0984571934082195
"mechanosensor_channels","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.767966108584112
"mechanosensor_channels","primary","rankmean","GM09503","mechanical_x_tgfb",0.669508915175892
"mechanosensor_channels","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.0328190644694065
"mechanosensor_channels","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.334754457587946
"mechanosensor_channels","primary","rankmean","GM08401","mechanical_x_tgfb",0.30193539311854
"integrin_focal_adhesion","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.210042012604201
"integrin_focal_adhesion","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.0913226141757398
"integrin_focal_adhesion","primary","rankmean","GM09503","mechanical_x_tgfb",-0.301364626779941
"integrin_focal_adhesion","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.42465015591719
"integrin_focal_adhesion","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.0958887448845268
"integrin_focal_adhesion","primary","rankmean","GM08401","mechanical_x_tgfb",-0.328761411032663
"hippo_yap_taz","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.024710825012259
"hippo_yap_taz","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.105021006302101
"hippo_yap_taz","primary","rankmean","GM09503","mechanical_x_tgfb",-0.0803101812898417
"hippo_yap_taz","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.172975775085813
"hippo_yap_taz","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.0555993562775828
"hippo_yap_taz","primary","rankmean","GM08401","mechanical_x_tgfb",-0.228575131363396
"actomyosin_rho","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.603870786237079
"actomyosin_rho","primary","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.540858182455819
"actomyosin_rho","primary","rankmean","GM09503","mechanical_x_tgfb",-0.0630126037812606
"actomyosin_rho","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.897929603882961
"actomyosin_rho","primary","rankmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.414832974893298
"actomyosin_rho","primary","rankmean","GM08401","mechanical_x_tgfb",-0.483096628989663
"ecm_remodeling","competitor","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.251137188983284
"ecm_remodeling","competitor","rankmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.0776242220493788
