source,sample_id,target_state,gene,cells,detected_cells,detection_rate,library_size_field
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,PANX1,474,84,0.17721518987341772,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,PARVA,474,208,0.4388185654008439,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,PIEZO2,474,188,0.39662447257383965,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,TEAD1,474,138,0.2911392405063291,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,TMEM63B,474,95,0.20042194092827004,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,CDC42,1724,1168,0.6774941995359629,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,CFL1,1724,1580,0.9164733178654292,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,CNN2,1724,411,0.23839907192575405,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,FERMT2,1724,1119,0.6490719257540604,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,ITGA2,1724,1,0.000580046403712297,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,ITGA5,1724,736,0.42691415313225056,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,ITGAV,1724,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,ITGB1,1724,1531,0.8880510440835266,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,LIMK1,1724,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,NF2,1724,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,PANX1,1724,127,0.07366589327146171,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,PARVA,1724,651,0.3776102088167053,NOT_AVAILABLE
