"source","pair_family","gene_a","gene_b","samples","positive_samples","median_excess_co_detection_rate","IQR_excess_co_detection_rate","median_enrichment_ratio","median_permutation_p","wilcoxon_one_sided_p","BH_FDR_within_source_pair_family","descriptive_within_sample_support"
"GSE130973","integrin_x_actomyosin","ITGB1","CFL1",5,4,0.00083139493623452,0.00282872594776551,1.00193637086552,0.422885572139304,0.250092128535397,0.461708544988426,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGB1","CFL1",12,11,0.0204153157937998,0.0136539863704254,1.02578469218263,0.00497512437810945,0.00143670696392626,0.00267649449268071,TRUE
"GSE130973","integrin_x_actomyosin","PARVA","CFL1",5,3,0.00210689650963633,0.00415942558204532,1.01516102356734,0.313432835820896,0.250092128535397,0.461708544988426,FALSE
"PRJNA607098","integrin_x_actomyosin","PARVA","CFL1",12,11,0.0188487554697029,0.0121099640029575,1.05093723230052,0.00497512437810945,0.00167280905792544,0.00267649449268071,TRUE
"GSE130973","integrin_x_actomyosin","FERMT2","CNN2",5,4,0.00320750557880203,0.0075611411590517,1.15991312566013,0.0895522388059701,0.0398079007300567,0.276021475137319,FALSE
"PRJNA607098","integrin_x_actomyosin","FERMT2","CNN2",12,12,0.0247891408735677,0.0104649724799853,1.11548856654306,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","ITGA2","CNN2",5,3,1.78357971471057e-05,0.00152278334783796,1.04569444531083,0.621890547263682,0.250092128535397,0.461708544988426,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGA2","CNN2",12,6,-1.15636749115244e-05,0.00214322697928571,0.984967743642974,0.654228855721393,0.376841858863079,0.452210230635694,FALSE
"GSE130973","integrin_x_actomyosin","ITGA5","CNN2",5,4,0.00190181054447147,0.00913163781387988,1.07321886935307,0.343283582089552,0.0690053687843298,0.276021475137319,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGA5","CNN2",12,12,0.0223756077710478,0.0184044246780063,1.13683594695918,0.00746268656716418,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","ITGAV","CNN2",5,3,0.00430056256889748,0.00993944900433352,1.07222227773012,0.213930348258706,0.446369200472174,0.595158933962899,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGAV","CNN2",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_actomyosin","ITGB1","CNN2",5,4,0.00250572911115203,0.00234656967572013,1.03065575531706,0.407960199004975,0.17261553588592,0.460308095695787,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGB1","CNN2",12,12,0.0167012787970498,0.0151700249547631,1.05859474178355,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","PARVA","CNN2",5,4,0.0047044723403843,0.0041171187383694,1.15628814307017,0.199004975124378,0.0690053687843298,0.276021475137319,FALSE
"PRJNA607098","integrin_x_actomyosin","PARVA","CNN2",12,12,0.0349506867951715,0.0250298792086011,1.2260288011658,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","FERMT2","LIMK1",5,3,0.000761503932391966,0.0037164848775248,1.09668992262423,0.388059701492537,0.657084782774197,0.750954037456225,FALSE
"PRJNA607098","integrin_x_actomyosin","FERMT2","LIMK1",12,11,0.00996602043780745,0.00756187403218086,1.09495453963376,0.0522388059701493,0.00167280905792544,0.00267649449268071,TRUE
"GSE130973","integrin_x_actomyosin","ITGA2","LIMK1",5,0,-0.000207167015763056,0.000186405092416502,0,1,0.978442776608462,0.978442776608462,FALSE
