"module","role","analysis_use","NGenes","Direction","PValue","FDR","cell_line","age_background","contrast"
"hypoxia","competitor","competing_explanation",17,"Up",0.135772005891771,0.244389610605188,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"cell_cycle","competitor","competing_explanation",18,"Up",0.00074870325205445,0.00224610975616335,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"mechanosensor_channels","primary","mechanism_gate",16,"Up",0.00449543673132175,0.0101147326454739,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",0.0304753588473539,0.0548556459252371,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.840039906211745,0.840039906211745,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",1.09115121774262e-06,9.82036095968358e-06,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"ecm_remodeling","competitor","competing_explanation",23,"Up",0.0832281498959869,0.10700762129484,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",0.0366730770598879,0.0550096155898319,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Up",0.340423718047575,0.382976682803522,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"hypoxia","competitor","competing_explanation",17,"Up",0.000448788852443719,0.00201954983599673,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"cell_cycle","competitor","competing_explanation",18,"Down",0.00118657587091029,0.00355972761273087,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present"
"mechanosensor_channels","primary","mechanism_gate",16,"Down",0.00506572625540242,0.00911830725972436,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",0.0237182821133707,0.0355774231700561,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.147126140981777,0.189162181262285,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",7.98740235722951e-08,3.59433106075328e-07,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"ecm_remodeling","competitor","competing_explanation",23,"Up",5.89390622910719e-05,0.000176817186873216,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"tgf_fibrosis","competitor","competing_explanation",19,"Up",0.00483211767757543,0.00911830725972436,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Down",0.298863352341709,0.336221271384423,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"hypoxia","competitor","competing_explanation",17,"Down",0.896029922567627,0.896029922567627,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"cell_cycle","competitor","competing_explanation",18,"Up",5.57776941559308e-14,5.01999247403378e-13,"GM08401","older_75y","tgfb_present_vs_absent_relaxed"
"mechanosensor_channels","primary","mechanism_gate",16,"Down",0.0553739952246001,0.0996731914042802,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",0.12675886531667,0.190138297975005,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.294899488313117,0.331761924352256,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",5.36778188919865e-08,2.41550185013939e-07,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"ecm_remodeling","competitor","competing_explanation",23,"Up",3.83109246268953e-07,1.14932773880686e-06,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"tgf_fibrosis","competitor","competing_explanation",19,"Up",0.000757187256671417,0.00170367132751069,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Up",0.497827019145057,0.497827019145057,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"hypoxia","competitor","competing_explanation",17,"Up",0.162258296419213,0.208617809681845,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"cell_cycle","competitor","competing_explanation",18,"Up",9.69610569354856e-09,8.7264951241937e-08,"GM08401","older_75y","tgfb_present_vs_absent_tension"
"mechanosensor_channels","primary","mechanism_gate",16,"Up",0.0375983520190149,0.0563975280285223,"GM08401","older_75y","mechanical_x_tgfb"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Down",0.0321420245552273,0.0563975280285223,"GM08401","older_75y","mechanical_x_tgfb"
"hippo_yap_taz","primary","mechanism_gate",17,"Down",0.23162124502129,0.260573900648952,"GM08401","older_75y","mechanical_x_tgfb"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Down",0.00187243581711862,0.00842596117703379,"GM08401","older_75y","mechanical_x_tgfb"
"ecm_remodeling","competitor","competing_explanation",23,"Down",0.291362596703842,0.291362596703842,"GM08401","older_75y","mechanical_x_tgfb"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",0.134124531027603,0.172445825606918,"GM08401","older_75y","mechanical_x_tgfb"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Up",0.01442610057634,0.032458726296765,"GM08401","older_75y","mechanical_x_tgfb"
"hypoxia","competitor","competing_explanation",17,"Up",0.00290423823901022,0.00871271471703065,"GM08401","older_75y","mechanical_x_tgfb"
"cell_cycle","competitor","competing_explanation",18,"Down",1.94831864041193e-10,1.75348677637074e-09,"GM08401","older_75y","mechanical_x_tgfb"
