"gene","module","step08C2_support","step08C2_interpretation","step10B_role","log2fc","ave_expr","t","p_value","q_genome","cell_line","age_background","contrast","present_after_filter","q_candidate"
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.902293641011027,8.54548437790078,-6.16330415410811,3.86805368480876e-05,0.000419495013582705,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.000193402684240438
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.585094477237476,11.2221895417477,-5.88854283193284,5.98922469340333e-05,0.000573589560112591,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.000224595926002625
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate",-0.776018899845148,9.90799274558812,-7.22833988252677,7.82689612549725e-06,0.000141904699609929,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,6.26938043615647e-05
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.00482001617499428,8.88244242785277,0.0427575861447773,0.966563052240378,0.977245321104606,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.966563052240378
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.535491437330849,8.53639942350322,4.81710852154541,0.000364255937157134,0.00215756196370322,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.000910639842892836
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.649492482900255,7.36316506012958,-4.49707573811581,0.000643593627983435,0.00328585872439118,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.00137912920282165
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.244543381579772,8.98352543688276,1.92348385608098,0.0772428920571308,0.141379978697969,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.115864338085696
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",1.49981798138467,7.32004497240032,7.76378757405444,8.35917391487529e-06,0.000148661362976876,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,6.26938043615647e-05
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.934799261604368,8.34188750988088,5.830640131932,8.38745842138911e-05,0.000729226489333736,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.000251623752641673
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.0317607743222872,1.74178423414139,-0.0683360946887304,0.946587638423661,0.962784112034523,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.966563052240378
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate",-0.50457197438411,2.22221113501495,-1.10051691054251,0.291631310571557,0.402314528204071,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.364539138214446
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate",-0.0117156181223921,5.47111301790986,-0.0621800751216903,0.951392243722359,0.965856995228239,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.966563052240378
